Scaling,Alg,Acc Cv,Acc Te,Sp,Se,MCC,F1,AUC-ROC,AUPR
MinMax,HGB,77.2 ± 0.95,75.37 ± 1.62,83.6 ± 2.9,70.24 ± 3.86,52.68 ± 2.22,77.63 ± 2.09,84.75 ± 1.14,90.81 ± 0.66
MinMax,LR,75.29 ± 0.53,72.38 ± 0.84,88.64 ± 0.91,62.12 ± 1.42,50.05 ± 1.3,73.3 ± 1.03,81.33 ± 0.94,88.3 ± 0.57
MinMax,RF,76.37 ± 1.0,76.61 ± 1.75,73.93 ± 2.94,78.38 ± 4.08,51.91 ± 2.74,80.31 ± 2.06,83.84 ± 1.2,89.58 ± 0.61
MinMax,SVM,76.48 ± 0.62,72.93 ± 0.81,90.54 ± 1.47,61.88 ± 1.15,51.84 ± 1.64,73.64 ± 0.89,82.45 ± 1.86,89.0 ± 1.85
