Scaling,Alg,Acc Cv,Acc Te,Sp,Se,MCC,F1,AUC-ROC,AUPR
MinMax,HGB,77.49 ± 1.15,75.49 ± 1.86,84.6 ± 2.46,69.74 ± 4.08,53.23 ± 2.52,77.57 ± 2.37,84.82 ± 1.4,90.77 ± 0.77
MinMax,LR,75.37 ± 0.52,72.18 ± 0.76,88.73 ± 0.98,61.74 ± 1.34,49.85 ± 1.21,73.05 ± 0.95,81.22 ± 0.99,88.05 ± 0.53
MinMax,RF,76.49 ± 1.22,76.59 ± 1.95,74.25 ± 3.21,78.07 ± 4.24,51.89 ± 3.19,80.26 ± 2.22,83.45 ± 1.4,89.31 ± 0.7
MinMax,SVM,76.43 ± 0.63,72.8 ± 0.81,90.3 ± 1.49,61.76 ± 1.13,51.54 ± 1.68,73.47 ± 0.88,82.38 ± 2.0,88.72 ± 1.86
