Features,1,2,3,4,5,Mode,Mean,Std
Capital,4,1,4,1,8,1,3.6,2.8809720581775866
Net_profit_to_Gross_profit,5,2,3,2,4,2,3.2,1.3038404810405297
Equity_Ratio,2,13,12,9,11,2,9.4,4.393176527297759
Operating_profit_to_sale,6,3,5,3,3,3,4.0,1.4142135623730951
Debt_to_equity_ratio,3,14,11,10,12,3,10.0,4.183300132670378
Net_profit_to_sale,7,4,1,4,6,4,4.4,2.3021728866442674
DuPont_Ratio,1,5,6,5,2,5,3.8,2.16794833886788
Net_working_capital,9,6,2,6,7,6,6.0,2.5495097567963922
P_to_B,8,7,7,7,9,7,7.6,0.8944271909999159
Stock_market_value,11,8,8,8,14,8,9.8,2.6832815729997477
Current_ratio,10,9,9,11,1,9,8.0,4.0
Quick_Ratio,13,10,10,12,5,10,10.0,3.082207001484488
Fixed_asset_turnover,35,11,20,26,21,11,22.6,8.792041856133306
Sales_growth_rate,21,12,13,13,31,13,18.0,8.12403840463596
Liquidity_ratios,14,25,15,22,17,14,18.6,4.722287581247038
Sale_to_current_assets,24,15,22,15,10,15,17.2,5.718391382198319
Net_profit_margin,15,21,17,37,29,15,23.8,9.121403400793103
Gross_profit_margin,36,29,24,32,15,15,27.2,8.105553651663778
Cost_to_sales_ratio,23,18,16,14,16,16,17.4,3.4351128074635335
Current_debt_to_total_debt_Ratio,39,16,34,21,32,16,28.4,9.555103348473004
ROI,16,37,23,40,27,16,28.6,9.91463564635635
Longterm_debt_to_equity_ratio,17,20,19,17,13,17,17.2,2.6832815729997477
P_to_S,31,30,28,29,18,18,27.2,5.263078946776307
Current_assets_ratio,18,35,37,39,34,18,32.6,8.384509526501834
Operating_cash_flow_to_sales,22,28,29,24,19,19,24.4,4.159326868617084
P_to_E,29,38,35,19,39,19,32.0,8.246211251235321
Profit_margin_before_interest_and_taxes,19,36,31,43,42,19,34.2,9.78263768111648
Profit_margin_growth_rate,20,19,30,18,20,20,21.4,4.878524367060187
Net_return_on_working_capital,25,24,21,23,33,21,25.2,4.604345773288535
ROA,12,23,14,27,23,23,19.8,6.457553716385176
Return_ratio_without_risk,26,33,36,42,25,25,32.4,7.092249290598858
EPS_growth,42,40,45,25,37,25,37.8,7.726577508832743
ROE,33,26,39,20,26,26,28.8,7.328028384224504
Working_capital_return,37,43,26,41,44,26,38.2,7.328028384224504
Cash_flow_returns_to_sales,40,27,27,16,30,27,28.0,8.573214099741124
Operating_profit_margin,27,41,42,45,28,27,36.6,8.44393273303382
Return_from_market,30,31,18,31,22,31,26.4,6.024948132556828
Total_asset_turnover,28,32,32,38,41,32,34.2,5.215361924162119
Average_payment_period,32,34,33,34,43,34,35.2,4.43846820423443
DPS,34,17,41,35,35,35,32.4,9.044335243676011
Operating_assets_Ratio,38,39,38,33,45,38,38.6,4.277849927241487
EPS,41,22,40,36,40,40,35.8,7.949842765740716
Cash_to_total_assets_ratio,44,42,25,44,24,44,35.8,10.35374328443583
Debt_to_total_assets_ratio,43,44,44,30,38,44,39.8,6.016643582596529
Total_income_growth,45,45,43,28,36,45,39.4,7.3688533707762165
