Features,1,2,3,4,5,Mode,Mean,Std
Return_from_market,1,1,1,1,1,1,1.0,0.0
ROI,3,2,3,2,2,2,2.4,0.5477225575051661
Sales_growth_rate,2,5,2,4,4,2,3.4,1.3416407864998738
ROA,4,4,4,3,3,4,3.6,0.5477225575051661
Operating_assets_Ratio,5,6,6,7,5,5,5.8,0.8366600265340756
P_to_B,6,3,5,6,6,6,5.2,1.3038404810405297
ROE,8,7,7,5,7,7,6.8,1.0954451150103321
Cash_to_total_assets_ratio,9,8,8,8,8,8,8.2,0.4472135954999579
Net_profit_margin,13,9,10,9,9,9,10.0,1.7320508075688772
EPS,10,10,9,13,11,10,10.6,1.51657508881031
DuPont_Ratio,11,14,17,12,10,10,12.8,2.7748873851023212
Profit_margin_before_interest_and_taxes,18,11,20,10,12,10,14.2,4.494441010848846
Operating_profit_margin,14,12,19,11,15,11,14.2,3.1144823004794873
Stock_market_value,30,26,11,21,24,11,22.4,7.162401831787993
DPS,12,13,18,17,16,12,15.2,2.588435821108957
Net_profit_to_Gross_profit,29,30,12,22,25,12,23.6,7.231873892705818
Equity_Ratio,17,22,26,15,14,14,18.8,5.06951674225463
Gross_profit_margin,19,17,27,14,18,14,19.0,4.847679857416329
Net_working_capital,33,32,14,26,29,14,26.8,7.661592523751183
Fixed_asset_turnover,32,15,16,24,17,15,20.8,7.19027120489902
Current_ratio,15,34,29,30,28,15,27.2,7.19027120489902
Debt_to_equity_ratio,16,21,25,16,13,16,18.2,4.764451699828638
Current_assets_ratio,34,16,21,27,19,16,23.4,7.162401831787993
Profit_margin_growth_rate,25,18,22,18,21,18,20.8,2.949576240750525
Total_income_growth,20,19,24,19,20,19,20.4,2.0736441353327724
Sale_to_current_assets,26,20,23,28,22,20,23.8,3.1937438845342623
Operating_cash_flow_to_sales,21,33,36,43,39,21,34.4,8.35463942968217
EPS_growth,23,23,30,25,27,23,25.6,2.966479394838265
Liquidity_ratios,24,27,34,36,30,24,30.2,4.919349550499537
P_to_E,41,24,32,31,35,24,32.6,6.18869937870632
Net_profit_to_sale,28,28,13,20,23,28,22.4,6.268971207462992
P_to_S,7,29,31,29,31,29,25.4,10.334408546211051
Operating_profit_to_sale,31,31,15,23,26,31,25.2,6.648308055437865
Capital,37,37,28,32,32,32,33.2,3.8340579025361627
Working_capital_return,38,35,33,33,33,33,34.4,2.1908902300206643
Quick_Ratio,22,39,35,34,34,34,32.8,6.379655163094632
Return_ratio_without_risk,35,25,37,35,36,35,33.6,4.878524367060187
Average_payment_period,27,36,39,38,38,38,35.6,4.9295030175464944
Cost_to_sales_ratio,36,38,38,39,37,38,37.6,1.140175425099138
Total_asset_turnover,40,41,41,41,41,41,40.8,0.4472135954999579
Net_return_on_working_capital,42,42,40,42,43,42,41.8,1.0954451150103321
Debt_to_total_assets_ratio,44,44,43,37,40,44,41.6,3.0495901363953815
Current_debt_to_total_debt_Ratio,45,43,44,44,42,44,43.6,1.1401754250991378
Cash_flow_returns_to_sales,39,45,42,40,45,45,42.2,2.7748873851023212
Longterm_debt_to_equity_ratio,43,40,45,45,44,45,43.4,2.073644135332772
