Scaling,Alg,Acc Cv,Acc Te,Sp,Se,MCC,F1,AUC-ROC,AUPR
MinMax,HGB,"(np.float64(56.25), 31)","(np.float64(50.78), 30)","(np.float64(89.9), 3)","(np.float64(52.23), 25)","(np.float64(14.87), 22)","(np.float64(55.21), 25)","(np.float64(59.74), 23)","(np.float64(69.51), 4)"
MinMax,LR,"(np.float64(54.51), 27)","(np.float64(44.17), 27)","(np.float64(96.8), 1)","(np.float64(26.85), 27)","(np.float64(8.92), 26)","(np.float64(35.68), 33)","(np.float64(61.35), 26)","(np.float64(71.03), 26)"
MinMax,RF,"(np.float64(58.61), 12)","(np.float64(62.8), 27)","(np.float64(59.38), 1)","(np.float64(81.55), 27)","(np.float64(18.57), 30)","(np.float64(73.29), 27)","(np.float64(59.86), 30)","(np.float64(69.82), 2)"
MinMax,SVM,"(np.float64(54.01), 24)","(np.float64(41.3), 6)","(np.float64(98.4), 3)","(np.float64(26.67), 19)","(np.float64(5.73), 2)","(np.float64(30.36), 19)","(np.float64(61.5), 9)","(np.float64(71.21), 1)"
