Features,1,2,3,4,5,Mode,Mean,Std
DuPont_Ratio,1,1,1,1,1,1,1.0,0.0
Net_profit_to_sale,3,3,2,2,4,2,2.8,0.8366600265340756
P_to_B,2,2,6,8,7,2,5.0,2.8284271247461903
Equity_Ratio,14,12,7,9,2,2,8.8,4.658325879540846
Operating_profit_to_sale,5,7,3,4,8,3,5.4,2.073644135332772
Quick_Ratio,4,4,13,14,16,4,10.2,5.761944116355173
Net_profit_to_Gross_profit,6,5,5,3,5,5,4.8,1.0954451150103321
Current_ratio,7,6,14,12,15,6,10.8,4.08656334834051
Longterm_debt_to_equity_ratio,20,14,16,18,6,6,14.8,5.403702434442518
Capital,8,9,10,5,9,9,8.2,1.9235384061671343
Net_working_capital,10,10,4,7,11,10,8.4,2.8809720581775866
Stock_market_value,11,11,9,6,10,11,9.4,2.073644135332772
ROA,16,18,20,11,14,11,15.8,3.492849839314596
Operating_cash_flow_to_sales,24,26,11,37,25,11,24.6,9.235799911215054
Liquidity_ratios,9,8,12,13,12,12,10.8,2.16794833886788
Net_profit_margin,12,22,19,16,18,12,17.4,3.714835124201342
Debt_to_equity_ratio,13,13,8,10,3,13,9.4,4.159326868617084
Current_assets_ratio,31,41,25,24,13,13,26.8,10.256705123966467
Cost_to_sales_ratio,18,15,17,15,23,15,17.6,3.286335345030997
P_to_E,15,17,22,31,19,15,20.8,6.260990336999411
Sale_to_current_assets,43,36,15,22,17,15,26.6,12.300406497347964
Profit_margin_growth_rate,19,16,31,17,26,16,21.8,6.457553716385176
Profit_margin_before_interest_and_taxes,17,33,32,26,37,17,29.0,7.7781745930520225
Fixed_asset_turnover,22,19,18,27,24,18,22.0,3.6742346141747673
ROI,23,32,30,19,21,19,25.0,5.70087712549569
Sales_growth_rate,33,23,23,20,20,20,23.8,5.357238094391549
ROE,25,20,21,39,28,20,26.6,7.63544366752843
Cash_flow_returns_to_sales,29,21,40,25,39,21,30.8,8.438009243891594
Return_from_market,21,35,26,41,32,21,31.0,7.7781745930520225
Cash_to_total_assets_ratio,42,40,36,23,27,23,33.6,8.264381404557755
Gross_profit_margin,35,27,24,28,38,24,30.4,5.856620185738529
DPS,26,37,28,45,34,26,34.0,7.582875444051551
Current_debt_to_total_debt_Ratio,27,31,41,36,44,27,35.8,6.978538528947161
Net_return_on_working_capital,28,28,34,30,40,28,32.0,5.0990195135927845
P_to_S,30,29,27,29,30,29,29.0,1.224744871391589
Total_asset_turnover,38,24,29,34,29,29,30.8,5.357238094391549
EPS_growth,44,30,37,43,41,30,39.0,5.70087712549569
Debt_to_total_assets_ratio,36,43,42,35,31,31,37.4,5.029910535983717
Operating_assets_Ratio,37,38,45,32,42,32,38.8,4.969909455915671
Average_payment_period,32,25,33,33,33,33,31.2,3.492849839314596
Return_ratio_without_risk,34,34,39,21,22,34,30.0,8.031189202104505
EPS,41,42,38,38,35,38,38.8,2.7748873851023212
Total_income_growth,40,39,44,42,45,39,42.0,2.5495097567963922
Operating_profit_margin,39,44,35,44,43,44,41.0,3.9370039370059056
Working_capital_return,45,45,43,40,36,45,41.8,3.8340579025361627
