Features,1,2,3,4,5,Mode,Mean,Std
Return_from_market,1,1,1,1,1,1,1.0,0.0
ROI,4,2,2,3,2,2,2.6,0.8944271909999159
ROA,7,3,4,5,4,4,4.6,1.51657508881031
ROE,5,5,7,2,3,5,4.4,1.9493588689617927
P_to_B,6,7,5,7,5,5,6.0,1.0
Sales_growth_rate,2,6,3,4,6,6,4.2,1.7888543819998317
Operating_assets_Ratio,3,4,6,6,7,6,5.2,1.6431676725154984
Net_profit_margin,11,8,9,13,8,8,9.8,2.16794833886788
Cash_to_total_assets_ratio,10,9,8,9,10,9,9.2,0.8366600265340756
Current_assets_ratio,20,15,13,10,16,10,14.8,3.7013511046643495
DuPont_Ratio,13,11,11,19,18,11,14.4,3.847076812334269
EPS,8,12,10,12,9,12,10.2,1.7888543819998317
Fixed_asset_turnover,12,13,12,15,14,12,13.2,1.3038404810405297
Operating_profit_margin,15,14,19,14,11,14,14.6,2.8809720581775866
Sale_to_current_assets,23,25,14,27,15,14,20.8,5.932958789676531
Equity_Ratio,25,17,15,24,19,15,20.0,4.358898943540674
Debt_to_equity_ratio,24,16,16,23,20,16,19.8,3.7682887362833544
Cost_to_sales_ratio,29,40,31,16,37,16,30.6,9.289779329994873
Profit_margin_before_interest_and_taxes,16,10,17,17,12,17,14.4,3.2093613071762426
Gross_profit_margin,27,19,35,28,17,17,25.2,7.293833011524188
DPS,9,18,18,18,13,18,15.2,4.08656334834051
Operating_profit_to_sale,19,24,23,25,27,19,23.6,2.9664793948382653
Net_profit_to_sale,17,20,21,20,24,20,20.4,2.5099800796022262
Stock_market_value,14,21,20,21,23,21,19.8,3.420526275297414
Total_income_growth,34,23,29,31,21,21,27.6,5.458937625582472
Liquidity_ratios,21,26,36,30,39,21,30.4,7.3006848993775915
Net_profit_to_Gross_profit,18,22,24,22,25,22,22.2,2.6832815729997477
Average_payment_period,35,29,22,32,26,22,28.8,5.06951674225463
EPS_growth,36,32,37,33,22,22,32.0,5.958187643906492
Profit_margin_growth_rate,28,27,26,26,28,26,27.0,1.0
Current_ratio,26,33,32,36,43,26,34.0,6.2048368229954285
Net_working_capital,22,28,28,29,29,28,27.2,2.949576240750525
P_to_E,31,31,25,40,30,31,31.4,5.412947441089743
Quick_Ratio,32,36,39,37,42,32,37.2,3.7013511046643495
Capital,30,35,33,34,33,33,33.0,1.8708286933869707
P_to_S,33,34,34,8,32,34,28.2,11.32254388377453
Current_debt_to_total_debt_Ratio,45,39,41,42,35,35,40.4,3.714835124201342
Debt_to_total_assets_ratio,37,38,30,35,38,38,35.6,3.361547262794322
Return_ratio_without_risk,44,37,38,38,36,38,38.6,3.1304951684997055
Working_capital_return,39,41,27,39,34,39,36.0,5.656854249492381
Net_return_on_working_capital,38,30,40,41,40,40,37.8,4.494441010848846
Operating_cash_flow_to_sales,40,42,42,11,31,42,33.2,13.21741275741966
Total_asset_turnover,41,43,43,43,41,43,42.2,1.0954451150103321
Longterm_debt_to_equity_ratio,42,45,44,44,44,44,43.8,1.0954451150103321
Cash_flow_returns_to_sales,43,44,45,45,45,45,44.4,0.8944271909999159
