Algorithm,Number_of_Features,cross_validation_accuracy_mean,cross_validation_accuracy_std,test_accuracy_mean,test_accuracy_std,specificity_mean,specificity_std,sensitivity_mean,sensitivity_std,mcc_mean,mcc_std,f1_mean,f1_std,auc_roc_mean,auc_roc_std,aupr_mean,aupr_std,best_param_fold_1,best_param_fold_2,best_param_fold_3,best_param_fold_4,best_param_fold_5
RF,1,52.29,0.64,54.9,2.53,52.84,14.59,56.16,10.35,8.97,6.28,60.58,5.45,55.98,3.16,69.17,2.93,"{'random_state': 101, 'n_estimators': 50, 'max_features': 'sqrt', 'max_depth': 20, 'criterion': 'entropy', 'class_weight': {np.int64(-1): np.float64(1.3548951048951048), np.int64(1): np.float64(0.7924335378323109)}}","{'random_state': 101, 'n_estimators': 10, 'max_features': 'sqrt', 'max_depth': 20, 'criterion': 'gini', 'class_weight': {np.int64(-1): np.float64(1.3548951048951048), np.int64(1): np.float64(0.7924335378323109)}}","{'random_state': 101, 'n_estimators': 50, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'entropy', 'class_weight': {np.int64(-1): np.float64(1.3548951048951048), np.int64(1): np.float64(0.7924335378323109)}}","{'random_state': 101, 'n_estimators': 10, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'entropy', 'class_weight': {np.int64(-1): np.float64(1.3501742160278745), np.int64(1): np.float64(0.7940573770491803)}}","{'random_state': 101, 'n_estimators': 10, 'max_features': 'sqrt', 'max_depth': 20, 'criterion': 'gini', 'class_weight': {np.int64(-1): np.float64(1.3519163763066202), np.int64(1): np.float64(0.7934560327198364)}}"
RF,2,55.12,1.2,53.35,1.94,59.52,8.25,49.76,4.91,9.09,5.26,57.24,2.75,57.05,3.94,69.06,3.01,"{'random_state': 101, 'n_estimators': 50, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'gini', 'class_weight': {np.int64(-1): np.float64(1.3548951048951048), np.int64(1): np.float64(0.7924335378323109)}}","{'random_state': 101, 'n_estimators': 50, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'entropy', 'class_weight': {np.int64(-1): np.float64(1.3548951048951048), np.int64(1): np.float64(0.7924335378323109)}}","{'random_state': 101, 'n_estimators': 50, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'entropy', 'class_weight': {np.int64(-1): np.float64(1.3548951048951048), np.int64(1): np.float64(0.7924335378323109)}}","{'random_state': 101, 'n_estimators': 50, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'entropy', 'class_weight': {np.int64(-1): np.float64(1.3501742160278745), np.int64(1): np.float64(0.7940573770491803)}}","{'random_state': 101, 'n_estimators': 50, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'gini', 'class_weight': {np.int64(-1): np.float64(1.3519163763066202), np.int64(1): np.float64(0.7934560327198364)}}"
RF,3,55.74,1.18,55.42,3.67,55.05,10.7,55.66,11.41,10.69,3.88,60.58,6.18,58.21,2.73,69.5,2.39,"{'random_state': 101, 'n_estimators': 50, 'max_features': 'sqrt', 'max_depth': 20, 'criterion': 'entropy', 'class_weight': {np.int64(-1): np.float64(1.3548951048951048), np.int64(1): np.float64(0.7924335378323109)}}","{'random_state': 101, 'n_estimators': 50, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'entropy', 'class_weight': {np.int64(-1): np.float64(1.3548951048951048), np.int64(1): np.float64(0.7924335378323109)}}","{'random_state': 101, 'n_estimators': 50, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'entropy', 'class_weight': {np.int64(-1): np.float64(1.3548951048951048), np.int64(1): np.float64(0.7924335378323109)}}","{'random_state': 101, 'n_estimators': 50, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'entropy', 'class_weight': {np.int64(-1): np.float64(1.3501742160278745), np.int64(1): np.float64(0.7940573770491803)}}","{'random_state': 101, 'n_estimators': 50, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'gini', 'class_weight': {np.int64(-1): np.float64(1.3519163763066202), np.int64(1): np.float64(0.7934560327198364)}}"
RF,4,56.34,1.4,55.83,3.45,44.5,14.34,62.54,9.14,6.86,8.93,63.79,4.51,55.67,7.97,68.45,6.23,"{'random_state': 101, 'n_estimators': 10, 'max_features': 'sqrt', 'max_depth': 20, 'criterion': 'entropy', 'class_weight': {np.int64(-1): np.float64(1.3548951048951048), np.int64(1): np.float64(0.7924335378323109)}}","{'random_state': 101, 'n_estimators': 10, 'max_features': 'sqrt', 'max_depth': 20, 'criterion': 'entropy', 'class_weight': {np.int64(-1): np.float64(1.3548951048951048), np.int64(1): np.float64(0.7924335378323109)}}","{'random_state': 101, 'n_estimators': 10, 'max_features': 'sqrt', 'max_depth': 20, 'criterion': 'gini', 'class_weight': {np.int64(-1): np.float64(1.3548951048951048), np.int64(1): np.float64(0.7924335378323109)}}","{'random_state': 101, 'n_estimators': 50, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'entropy', 'class_weight': {np.int64(-1): np.float64(1.3501742160278745), np.int64(1): np.float64(0.7940573770491803)}}","{'random_state': 101, 'n_estimators': 50, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'entropy', 'class_weight': {np.int64(-1): np.float64(1.3519163763066202), np.int64(1): np.float64(0.7934560327198364)}}"
RF,5,56.28,1.68,59.66,4.2,40.82,9.07,70.73,11.1,12.36,5.57,68.41,5.79,58.64,2.87,69.54,3.62,"{'random_state': 101, 'n_estimators': 50, 'max_features': 'sqrt', 'max_depth': 20, 'criterion': 'gini', 'class_weight': {np.int64(-1): np.float64(1.3548951048951048), np.int64(1): np.float64(0.7924335378323109)}}","{'random_state': 101, 'n_estimators': 10, 'max_features': 'sqrt', 'max_depth': 20, 'criterion': 'entropy', 'class_weight': {np.int64(-1): np.float64(1.3548951048951048), np.int64(1): np.float64(0.7924335378323109)}}","{'random_state': 101, 'n_estimators': 50, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'gini', 'class_weight': {np.int64(-1): np.float64(1.3548951048951048), np.int64(1): np.float64(0.7924335378323109)}}","{'random_state': 101, 'n_estimators': 10, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'entropy', 'class_weight': {np.int64(-1): np.float64(1.3501742160278745), np.int64(1): np.float64(0.7940573770491803)}}","{'random_state': 101, 'n_estimators': 10, 'max_features': 'sqrt', 'max_depth': 20, 'criterion': 'entropy', 'class_weight': {np.int64(-1): np.float64(1.3519163763066202), np.int64(1): np.float64(0.7934560327198364)}}"
RF,6,56.79,1.57,55.73,3.68,48.06,9.68,60.25,9.67,8.29,5.6,62.79,5.49,57.8,3.05,69.47,2.7,"{'random_state': 101, 'n_estimators': 10, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'gini', 'class_weight': {np.int64(-1): np.float64(1.3548951048951048), np.int64(1): np.float64(0.7924335378323109)}}","{'random_state': 101, 'n_estimators': 50, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'gini', 'class_weight': {np.int64(-1): np.float64(1.3548951048951048), np.int64(1): np.float64(0.7924335378323109)}}","{'random_state': 101, 'n_estimators': 50, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'gini', 'class_weight': {np.int64(-1): np.float64(1.3548951048951048), np.int64(1): np.float64(0.7924335378323109)}}","{'random_state': 101, 'n_estimators': 10, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'entropy', 'class_weight': {np.int64(-1): np.float64(1.3501742160278745), np.int64(1): np.float64(0.7940573770491803)}}","{'random_state': 101, 'n_estimators': 50, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'gini', 'class_weight': {np.int64(-1): np.float64(1.3519163763066202), np.int64(1): np.float64(0.7934560327198364)}}"
RF,7,56.74,1.16,60.99,2.76,38.58,15.87,74.18,13.06,13.89,3.18,70.0,5.61,59.55,2.38,70.18,2.01,"{'random_state': 101, 'n_estimators': 50, 'max_features': 'sqrt', 'max_depth': 20, 'criterion': 'entropy', 'class_weight': {np.int64(-1): np.float64(1.3548951048951048), np.int64(1): np.float64(0.7924335378323109)}}","{'random_state': 101, 'n_estimators': 50, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'entropy', 'class_weight': {np.int64(-1): np.float64(1.3548951048951048), np.int64(1): np.float64(0.7924335378323109)}}","{'random_state': 101, 'n_estimators': 50, 'max_features': 'sqrt', 'max_depth': 20, 'criterion': 'gini', 'class_weight': {np.int64(-1): np.float64(1.3548951048951048), np.int64(1): np.float64(0.7924335378323109)}}","{'random_state': 101, 'n_estimators': 50, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'entropy', 'class_weight': {np.int64(-1): np.float64(1.3501742160278745), np.int64(1): np.float64(0.7940573770491803)}}","{'random_state': 101, 'n_estimators': 50, 'max_features': 'sqrt', 'max_depth': 20, 'criterion': 'gini', 'class_weight': {np.int64(-1): np.float64(1.3519163763066202), np.int64(1): np.float64(0.7934560327198364)}}"
RF,8,57.17,1.51,59.44,1.55,41.66,10.08,69.9,7.69,11.89,3.07,68.3,2.99,60.79,2.32,72.18,2.32,"{'random_state': 101, 'n_estimators': 50, 'max_features': 'log2', 'max_depth': 20, 'criterion': 'gini', 'class_weight': {np.int64(-1): np.float64(1.3548951048951048), np.int64(1): np.float64(0.7924335378323109)}}","{'random_state': 101, 'n_estimators': 10, 'max_features': 'log2', 'max_depth': 10, 'criterion': 'entropy', 'class_weight': {np.int64(-1): np.float64(1.3548951048951048), np.int64(1): np.float64(0.7924335378323109)}}","{'random_state': 101, 'n_estimators': 10, 'max_features': 'log2', 'max_depth': 20, 'criterion': 'gini', 'class_weight': {np.int64(-1): np.float64(1.3548951048951048), np.int64(1): np.float64(0.7924335378323109)}}","{'random_state': 101, 'n_estimators': 10, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'gini', 'class_weight': {np.int64(-1): np.float64(1.3501742160278745), np.int64(1): np.float64(0.7940573770491803)}}","{'random_state': 101, 'n_estimators': 10, 'max_features': 'log2', 'max_depth': 10, 'criterion': 'gini', 'class_weight': {np.int64(-1): np.float64(1.3519163763066202), np.int64(1): np.float64(0.7934560327198364)}}"
RF,9,57.38,1.06,63.98,2.84,33.81,8.12,81.67,3.48,17.32,7.37,74.08,2.02,60.24,4.91,71.07,5.13,"{'random_state': 101, 'n_estimators': 50, 'max_features': 'sqrt', 'max_depth': 20, 'criterion': 'gini', 'class_weight': {np.int64(-1): np.float64(1.3548951048951048), np.int64(1): np.float64(0.7924335378323109)}}","{'random_state': 101, 'n_estimators': 10, 'max_features': 'sqrt', 'max_depth': 20, 'criterion': 'entropy', 'class_weight': {np.int64(-1): np.float64(1.3548951048951048), np.int64(1): np.float64(0.7924335378323109)}}","{'random_state': 101, 'n_estimators': 10, 'max_features': 'sqrt', 'max_depth': 20, 'criterion': 'entropy', 'class_weight': {np.int64(-1): np.float64(1.3548951048951048), np.int64(1): np.float64(0.7924335378323109)}}","{'random_state': 101, 'n_estimators': 10, 'max_features': 'sqrt', 'max_depth': 20, 'criterion': 'gini', 'class_weight': {np.int64(-1): np.float64(1.3501742160278745), np.int64(1): np.float64(0.7940573770491803)}}","{'random_state': 101, 'n_estimators': 50, 'max_features': 'sqrt', 'max_depth': 20, 'criterion': 'gini', 'class_weight': {np.int64(-1): np.float64(1.3519163763066202), np.int64(1): np.float64(0.7934560327198364)}}"
RF,10,57.97,2.27,59.03,4.97,44.66,5.9,67.41,8.07,12.34,8.8,67.27,5.21,60.94,5.58,71.63,4.58,"{'random_state': 101, 'n_estimators': 50, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'gini', 'class_weight': {np.int64(-1): np.float64(1.3548951048951048), np.int64(1): np.float64(0.7924335378323109)}}","{'random_state': 101, 'n_estimators': 50, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'entropy', 'class_weight': {np.int64(-1): np.float64(1.3548951048951048), np.int64(1): np.float64(0.7924335378323109)}}","{'random_state': 101, 'n_estimators': 10, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'gini', 'class_weight': {np.int64(-1): np.float64(1.3548951048951048), np.int64(1): np.float64(0.7924335378323109)}}","{'random_state': 101, 'n_estimators': 10, 'max_features': 'sqrt', 'max_depth': 20, 'criterion': 'entropy', 'class_weight': {np.int64(-1): np.float64(1.3501742160278745), np.int64(1): np.float64(0.7940573770491803)}}","{'random_state': 101, 'n_estimators': 50, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'gini', 'class_weight': {np.int64(-1): np.float64(1.3519163763066202), np.int64(1): np.float64(0.7934560327198364)}}"
