Features,1,2,3,4,5,Mode,Mean,Std
DuPont_Ratio,1,1,2,1,1,1,1.2,0.4472135954999579
Current_ratio,10,13,1,12,17,1,10.6,5.9413803110051795
Net_profit_to_Gross_profit,3,4,4,2,2,2,3.0,1.0
Net_profit_to_sale,4,3,6,3,4,3,4.0,1.224744871391589
Operating_profit_to_sale,5,5,5,5,3,5,4.6,0.8944271909999159
Capital,6,2,7,6,5,6,5.2,1.9235384061671346
P_to_B,2,7,8,7,7,7,6.2,2.3874672772626644
Stock_market_value,11,8,11,8,6,8,8.8,2.16794833886788
Fixed_asset_turnover,8,24,12,13,14,8,14.2,5.932958789676531
Net_working_capital,9,6,10,9,8,9,8.4,1.51657508881031
Operating_cash_flow_to_sales,7,9,15,4,9,9,8.8,4.024922359499621
Liquidity_ratios,13,12,9,19,16,9,13.8,3.8340579025361627
Debt_to_equity_ratio,20,11,14,10,12,10,13.4,3.974921382870358
Equity_Ratio,19,10,13,11,11,11,12.8,3.63318042491699
Current_debt_to_total_debt_Ratio,40,38,24,23,13,13,27.6,11.28273016605467
Quick_Ratio,14,14,3,14,22,14,13.4,6.767569726275452
Longterm_debt_to_equity_ratio,16,21,19,18,15,15,17.8,2.3874672772626644
Net_profit_margin,21,15,18,15,21,15,18.0,3.0
Return_ratio_without_risk,15,34,39,43,33,15,32.8,10.73312629199899
Cost_to_sales_ratio,12,16,17,16,10,16,14.2,3.03315017762062
Sale_to_current_assets,18,19,16,21,25,16,19.8,3.420526275297414
ROA,29,20,21,17,19,17,21.2,4.604345773288536
Current_assets_ratio,28,17,40,25,31,17,28.2,8.408329203831164
Net_return_on_working_capital,22,31,23,24,18,18,23.6,4.722287581247038
Profit_margin_before_interest_and_taxes,32,22,26,20,27,20,25.4,4.6690470119715
Profit_margin_growth_rate,30,25,35,22,20,20,26.4,6.107372593840988
Debt_to_total_assets_ratio,38,45,20,42,43,20,37.6,10.16366075781753
Cash_flow_returns_to_sales,23,41,22,39,36,22,32.2,9.038805230781334
Operating_profit_margin,35,37,45,31,23,23,34.2,8.07465169527454
ROE,24,27,25,30,24,24,26.0,2.5495097567963922
Return_from_market,25,26,31,29,32,25,28.6,3.0495901363953815
Total_income_growth,45,39,44,26,38,26,38.4,7.569676347110224
Total_asset_turnover,26,30,27,27,28,27,27.6,1.51657508881031
Working_capital_return,27,44,34,35,45,27,37.0,7.516648189186454
Cash_to_total_assets_ratio,42,28,37,32,39,28,35.6,5.594640292279745
ROI,43,23,29,28,29,29,30.4,7.46993975879324
EPS,39,29,41,38,42,29,37.8,5.167204273105526
P_to_S,31,32,32,33,30,32,31.6,1.1401754250991378
Average_payment_period,33,33,28,41,26,33,32.2,5.805170109479997
Operating_assets_Ratio,41,36,43,44,34,34,39.6,4.39317652729776
P_to_E,37,35,36,40,35,35,36.6,2.073644135332772
DPS,36,18,33,36,41,36,32.8,8.757853618324527
Sales_growth_rate,34,43,38,37,37,37,37.8,3.271085446759225
Gross_profit_margin,17,40,30,45,40,40,34.4,11.148990985734986
EPS_growth,44,42,42,34,44,42,41.2,4.147288270665544
