Algorithm,Number_of_Features,cross_validation_accuracy_mean,cross_validation_accuracy_std,test_accuracy_mean,test_accuracy_std,specificity_mean,specificity_std,sensitivity_mean,sensitivity_std,mcc_mean,mcc_std,f1_mean,f1_std,auc_roc_mean,auc_roc_std,aupr_mean,aupr_std,best_param_fold_1,best_param_fold_2,best_param_fold_3,best_param_fold_4,best_param_fold_5
LR,1,51.35,1.29,38.29,1.27,96.93,2.7,3.93,3.33,1.75,2.41,7.15,6.04,52.05,3.38,64.28,3.25,"{'random_state': 75, 'max_iter': 100, 'class_weight': {np.int64(-1): np.float64(1.3548951048951048), np.int64(1): np.float64(0.7924335378323109)}, 'C': 0.01}","{'random_state': 75, 'max_iter': 100, 'class_weight': {np.int64(-1): np.float64(1.3548951048951048), np.int64(1): np.float64(0.7924335378323109)}, 'C': 1}","{'random_state': 75, 'max_iter': 100, 'class_weight': {np.int64(-1): np.float64(1.3548951048951048), np.int64(1): np.float64(0.7924335378323109)}, 'C': 1}","{'random_state': 75, 'max_iter': 100, 'class_weight': {np.int64(-1): np.float64(1.3501742160278745), np.int64(1): np.float64(0.7940573770491803)}, 'C': 1}","{'random_state': 75, 'max_iter': 100, 'class_weight': {np.int64(-1): np.float64(1.3519163763066202), np.int64(1): np.float64(0.7934560327198364)}, 'C': 0.01}"
LR,2,51.74,1.74,38.9,1.26,96.65,2.42,5.07,3.04,3.82,2.97,9.26,5.45,57.31,3.58,68.82,2.64,"{'random_state': 75, 'max_iter': 100, 'class_weight': {np.int64(-1): np.float64(1.3548951048951048), np.int64(1): np.float64(0.7924335378323109)}, 'C': 1}","{'random_state': 75, 'max_iter': 100, 'class_weight': {np.int64(-1): np.float64(1.3548951048951048), np.int64(1): np.float64(0.7924335378323109)}, 'C': 1}","{'random_state': 75, 'max_iter': 100, 'class_weight': {np.int64(-1): np.float64(1.3548951048951048), np.int64(1): np.float64(0.7924335378323109)}, 'C': 1}","{'random_state': 75, 'max_iter': 100, 'class_weight': {np.int64(-1): np.float64(1.3501742160278745), np.int64(1): np.float64(0.7940573770491803)}, 'C': 1}","{'random_state': 75, 'max_iter': 100, 'class_weight': {np.int64(-1): np.float64(1.3519163763066202), np.int64(1): np.float64(0.7934560327198364)}, 'C': 0.01}"
LR,3,52.56,1.55,41.07,3.27,96.93,1.84,8.35,5.47,9.0,7.05,14.65,9.2,59.82,4.4,71.47,3.47,"{'random_state': 75, 'max_iter': 100, 'class_weight': {np.int64(-1): np.float64(1.3548951048951048), np.int64(1): np.float64(0.7924335378323109)}, 'C': 1}","{'random_state': 75, 'max_iter': 100, 'class_weight': {np.int64(-1): np.float64(1.3548951048951048), np.int64(1): np.float64(0.7924335378323109)}, 'C': 1}","{'random_state': 75, 'max_iter': 100, 'class_weight': {np.int64(-1): np.float64(1.3548951048951048), np.int64(1): np.float64(0.7924335378323109)}, 'C': 1}","{'random_state': 75, 'max_iter': 100, 'class_weight': {np.int64(-1): np.float64(1.3501742160278745), np.int64(1): np.float64(0.7940573770491803)}, 'C': 1}","{'random_state': 75, 'max_iter': 100, 'class_weight': {np.int64(-1): np.float64(1.3519163763066202), np.int64(1): np.float64(0.7934560327198364)}, 'C': 0.01}"
LR,4,52.48,1.4,41.07,3.28,97.21,1.52,8.19,5.49,9.29,7.01,14.4,9.21,60.94,3.65,71.9,3.22,"{'random_state': 75, 'max_iter': 100, 'class_weight': {np.int64(-1): np.float64(1.3548951048951048), np.int64(1): np.float64(0.7924335378323109)}, 'C': 1}","{'random_state': 75, 'max_iter': 100, 'class_weight': {np.int64(-1): np.float64(1.3548951048951048), np.int64(1): np.float64(0.7924335378323109)}, 'C': 1}","{'random_state': 75, 'max_iter': 100, 'class_weight': {np.int64(-1): np.float64(1.3548951048951048), np.int64(1): np.float64(0.7924335378323109)}, 'C': 1}","{'random_state': 75, 'max_iter': 100, 'class_weight': {np.int64(-1): np.float64(1.3501742160278745), np.int64(1): np.float64(0.7940573770491803)}, 'C': 1}","{'random_state': 75, 'max_iter': 100, 'class_weight': {np.int64(-1): np.float64(1.3519163763066202), np.int64(1): np.float64(0.7934560327198364)}, 'C': 0.01}"
LR,5,53.05,0.62,41.8,2.1,96.65,0.67,9.66,3.05,11.34,4.62,17.18,4.86,62.29,4.4,72.79,3.92,"{'random_state': 75, 'max_iter': 100, 'class_weight': {np.int64(-1): np.float64(1.3548951048951048), np.int64(1): np.float64(0.7924335378323109)}, 'C': 1}","{'random_state': 75, 'max_iter': 100, 'class_weight': {np.int64(-1): np.float64(1.3548951048951048), np.int64(1): np.float64(0.7924335378323109)}, 'C': 1}","{'random_state': 75, 'max_iter': 100, 'class_weight': {np.int64(-1): np.float64(1.3548951048951048), np.int64(1): np.float64(0.7924335378323109)}, 'C': 1}","{'random_state': 75, 'max_iter': 100, 'class_weight': {np.int64(-1): np.float64(1.3501742160278745), np.int64(1): np.float64(0.7940573770491803)}, 'C': 1}","{'random_state': 75, 'max_iter': 100, 'class_weight': {np.int64(-1): np.float64(1.3519163763066202), np.int64(1): np.float64(0.7934560327198364)}, 'C': 1}"
LR,6,53.01,0.58,41.8,2.1,96.65,0.67,9.66,3.05,11.34,4.62,17.18,4.86,62.43,4.41,72.88,3.9,"{'random_state': 75, 'max_iter': 100, 'class_weight': {np.int64(-1): np.float64(1.3548951048951048), np.int64(1): np.float64(0.7924335378323109)}, 'C': 1}","{'random_state': 75, 'max_iter': 100, 'class_weight': {np.int64(-1): np.float64(1.3548951048951048), np.int64(1): np.float64(0.7924335378323109)}, 'C': 1}","{'random_state': 75, 'max_iter': 100, 'class_weight': {np.int64(-1): np.float64(1.3548951048951048), np.int64(1): np.float64(0.7924335378323109)}, 'C': 1}","{'random_state': 75, 'max_iter': 100, 'class_weight': {np.int64(-1): np.float64(1.3501742160278745), np.int64(1): np.float64(0.7940573770491803)}, 'C': 1}","{'random_state': 75, 'max_iter': 100, 'class_weight': {np.int64(-1): np.float64(1.3519163763066202), np.int64(1): np.float64(0.7934560327198364)}, 'C': 1}"
LR,7,53.04,0.62,42.0,2.02,96.65,0.67,9.99,2.91,11.83,4.4,17.73,4.64,62.69,4.32,73.18,3.69,"{'random_state': 75, 'max_iter': 100, 'class_weight': {np.int64(-1): np.float64(1.3548951048951048), np.int64(1): np.float64(0.7924335378323109)}, 'C': 1}","{'random_state': 75, 'max_iter': 100, 'class_weight': {np.int64(-1): np.float64(1.3548951048951048), np.int64(1): np.float64(0.7924335378323109)}, 'C': 1}","{'random_state': 75, 'max_iter': 100, 'class_weight': {np.int64(-1): np.float64(1.3548951048951048), np.int64(1): np.float64(0.7924335378323109)}, 'C': 1}","{'random_state': 75, 'max_iter': 100, 'class_weight': {np.int64(-1): np.float64(1.3501742160278745), np.int64(1): np.float64(0.7940573770491803)}, 'C': 1}","{'random_state': 75, 'max_iter': 100, 'class_weight': {np.int64(-1): np.float64(1.3519163763066202), np.int64(1): np.float64(0.7934560327198364)}, 'C': 1}"
LR,8,53.05,0.76,41.38,2.32,96.37,0.68,9.17,3.3,9.92,5.26,16.33,5.3,63.0,4.07,73.3,3.24,"{'random_state': 75, 'max_iter': 100, 'class_weight': {np.int64(-1): np.float64(1.3548951048951048), np.int64(1): np.float64(0.7924335378323109)}, 'C': 1}","{'random_state': 75, 'max_iter': 100, 'class_weight': {np.int64(-1): np.float64(1.3548951048951048), np.int64(1): np.float64(0.7924335378323109)}, 'C': 1}","{'random_state': 75, 'max_iter': 100, 'class_weight': {np.int64(-1): np.float64(1.3548951048951048), np.int64(1): np.float64(0.7924335378323109)}, 'C': 1}","{'random_state': 75, 'max_iter': 100, 'class_weight': {np.int64(-1): np.float64(1.3501742160278745), np.int64(1): np.float64(0.7940573770491803)}, 'C': 1}","{'random_state': 75, 'max_iter': 100, 'class_weight': {np.int64(-1): np.float64(1.3519163763066202), np.int64(1): np.float64(0.7934560327198364)}, 'C': 1}"
LR,9,53.07,0.81,41.38,2.32,96.37,0.68,9.17,3.3,9.92,5.26,16.33,5.3,63.01,4.12,73.29,3.28,"{'random_state': 75, 'max_iter': 100, 'class_weight': {np.int64(-1): np.float64(1.3548951048951048), np.int64(1): np.float64(0.7924335378323109)}, 'C': 1}","{'random_state': 75, 'max_iter': 100, 'class_weight': {np.int64(-1): np.float64(1.3548951048951048), np.int64(1): np.float64(0.7924335378323109)}, 'C': 1}","{'random_state': 75, 'max_iter': 100, 'class_weight': {np.int64(-1): np.float64(1.3548951048951048), np.int64(1): np.float64(0.7924335378323109)}, 'C': 1}","{'random_state': 75, 'max_iter': 100, 'class_weight': {np.int64(-1): np.float64(1.3501742160278745), np.int64(1): np.float64(0.7940573770491803)}, 'C': 1}","{'random_state': 75, 'max_iter': 100, 'class_weight': {np.int64(-1): np.float64(1.3519163763066202), np.int64(1): np.float64(0.7934560327198364)}, 'C': 1}"
LR,10,53.05,0.88,42.1,2.48,96.37,0.68,10.32,3.62,11.55,5.2,18.17,5.7,62.82,4.01,73.2,3.17,"{'random_state': 75, 'max_iter': 100, 'class_weight': {np.int64(-1): np.float64(1.3548951048951048), np.int64(1): np.float64(0.7924335378323109)}, 'C': 1}","{'random_state': 75, 'max_iter': 100, 'class_weight': {np.int64(-1): np.float64(1.3548951048951048), np.int64(1): np.float64(0.7924335378323109)}, 'C': 1}","{'random_state': 75, 'max_iter': 100, 'class_weight': {np.int64(-1): np.float64(1.3548951048951048), np.int64(1): np.float64(0.7924335378323109)}, 'C': 1}","{'random_state': 75, 'max_iter': 100, 'class_weight': {np.int64(-1): np.float64(1.3501742160278745), np.int64(1): np.float64(0.7940573770491803)}, 'C': 1}","{'random_state': 75, 'max_iter': 100, 'class_weight': {np.int64(-1): np.float64(1.3519163763066202), np.int64(1): np.float64(0.7934560327198364)}, 'C': 1}"
