Features,1,2,3,4,5,Mode,Mean,Std
Return_from_market,1,1,1,1,1,1,1.0,0.0
ROI,2,2,3,2,2,2,2.2,0.4472135954999579
ROA,5,4,5,3,4,4,4.2,0.8366600265340756
P_to_B,3,6,4,4,5,4,4.4,1.1401754250991378
Sales_growth_rate,4,5,2,5,3,5,3.8,1.3038404810405297
Operating_assets_Ratio,6,7,6,6,6,6,6.2,0.44721359549995787
ROE,7,3,8,7,7,7,6.4,1.9493588689617927
Cash_to_total_assets_ratio,8,14,11,9,8,8,10.0,2.5495097567963922
Net_profit_margin,9,9,10,8,9,9,9.0,0.7071067811865476
EPS,10,8,12,11,10,10,10.2,1.4832396974191324
DPS,15,10,17,13,20,10,15.0,3.8078865529319543
EPS_growth,12,36,35,28,31,12,28.4,9.710818709048173
Operating_profit_margin,11,13,13,12,13,13,12.4,0.8944271909999159
Total_income_growth,13,34,31,22,28,13,25.6,8.324662155306966
Profit_margin_before_interest_and_taxes,14,12,14,10,17,14,13.4,2.6076809620810595
DuPont_Ratio,18,19,18,14,14,14,16.6,2.4083189157584592
Fixed_asset_turnover,17,15,15,15,11,15,14.6,2.1908902300206643
Current_assets_ratio,28,16,21,16,21,16,20.4,4.9295030175464944
Net_profit_to_Gross_profit,23,22,25,20,16,16,21.2,3.420526275297414
Gross_profit_margin,16,17,24,17,22,17,19.2,3.5637059362410923
Operating_profit_to_sale,24,23,26,21,18,18,22.4,3.0495901363953815
Stock_market_value,21,21,23,18,12,21,19.0,4.301162633521313
Net_profit_to_sale,22,20,22,19,15,22,19.6,2.8809720581775866
Net_working_capital,25,24,30,25,19,25,24.6,3.9115214431215892
Sale_to_current_assets,19,26,29,26,25,26,25.0,3.6742346141747673
Debt_to_equity_ratio,26,32,38,23,26,26,29.0,6.0
Profit_margin_growth_rate,20,18,27,27,23,27,23.0,4.06201920231798
Equity_Ratio,27,31,39,24,27,27,29.6,5.813776741499454
P_to_E,31,30,28,35,29,28,30.6,2.701851217221259
Working_capital_return,33,28,36,32,35,28,32.8,3.1144823004794873
P_to_S,29,27,7,29,30,29,24.4,9.787747442593725
Return_ratio_without_risk,43,37,32,31,32,32,35.0,5.049752469181039
Current_ratio,37,33,16,33,33,33,30.4,8.23407554009556
Quick_Ratio,44,41,33,40,39,33,39.4,4.03732584763727
Liquidity_ratios,30,25,34,34,24,34,29.4,4.774934554525329
Capital,34,35,37,30,34,34,34.0,2.5495097567963922
Operating_cash_flow_to_sales,32,29,9,36,36,36,28.4,11.238327277669038
Average_payment_period,35,38,19,37,37,37,33.2,8.012490249604053
Cost_to_sales_ratio,39,39,20,38,38,38,34.8,8.28854631404084
Longterm_debt_to_equity_ratio,38,40,40,39,43,40,40.0,1.8708286933869707
Total_asset_turnover,41,11,41,41,41,41,35.0,13.416407864998739
Net_return_on_working_capital,36,45,42,42,42,42,41.4,3.2863353450309964
Debt_to_total_assets_ratio,42,44,43,43,45,43,43.4,1.1401754250991378
Current_debt_to_total_debt_Ratio,45,43,44,44,40,44,43.2,1.9235384061671343
Cash_flow_returns_to_sales,40,42,45,45,44,45,43.2,2.16794833886788
