Features,1,2,3,4,5,Mode,Mean,Std
DuPont_Ratio,1,1,2,1,8,1,2.6,3.0495901363953815
P_to_B,2,2,1,2,4,2,2.2,1.0954451150103321
Net_profit_to_sale,3,3,3,5,1,3,3.0,1.4142135623730951
Current_ratio,8,9,6,3,14,3,8.0,4.06201920231798
Net_profit_to_Gross_profit,4,4,4,6,2,4,4.0,1.4142135623730951
Operating_profit_to_sale,5,5,5,7,3,5,5.0,1.4142135623730951
Capital,6,6,7,8,6,6,6.6,0.8944271909999159
Net_working_capital,7,7,10,9,5,7,7.6,1.9493588689617927
Sale_to_current_assets,16,22,8,32,21,8,19.8,8.78635305459552
Quick_Ratio,9,13,9,4,13,9,9.6,3.714835124201342
Operating_cash_flow_to_sales,30,24,37,22,9,9,24.4,10.406728592598157
Stock_market_value,10,8,11,10,7,10,9.2,1.6431676725154984
Equity_Ratio,11,11,12,11,10,11,11.0,0.7071067811865476
Debt_to_equity_ratio,12,12,13,12,11,12,12.0,0.7071067811865476
Cost_to_sales_ratio,13,15,14,13,12,13,13.4,1.1401754250991378
ROA,14,30,21,36,25,14,25.2,8.408329203831164
DPS,44,14,42,20,40,14,32.0,13.92838827718412
Working_capital_return,31,32,40,15,36,15,30.8,9.5236547606473
Sales_growth_rate,22,17,23,16,19,16,19.4,3.049590136395381
P_to_E,24,23,20,26,16,16,21.8,3.8987177379235853
Net_return_on_working_capital,32,31,16,43,45,16,33.4,11.588787684654507
Fixed_asset_turnover,20,33,19,21,17,17,22.0,6.324555320336759
Longterm_debt_to_equity_ratio,18,10,18,19,22,18,17.4,4.449719092257397
P_to_S,26,29,27,30,18,18,26.0,4.743416490252569
ROE,36,25,33,18,27,18,27.8,7.049822692805828
Liquidity_ratios,19,19,17,28,15,19,19.6,4.979959839195493
Gross_profit_margin,37,20,15,14,20,20,21.2,9.257429448826493
Return_from_market,21,21,28,34,28,21,26.4,5.504543577809153
Total_asset_turnover,25,26,25,23,23,23,24.4,1.3416407864998738
Profit_margin_before_interest_and_taxes,23,36,41,40,44,23,36.8,8.228000972289685
Net_profit_margin,15,27,24,24,30,24,24.0,5.612486080160912
ROI,17,39,26,44,26,26,30.4,10.92245393673052
Current_assets_ratio,27,18,22,27,24,27,23.6,3.7815340802378072
Return_ratio_without_risk,29,28,39,41,31,28,33.6,5.9833101206606365
Operating_profit_margin,28,42,30,37,35,28,34.4,5.594640292279745
Cash_flow_returns_to_sales,40,44,29,31,39,29,36.6,6.348228099241551
Current_debt_to_total_debt_Ratio,33,34,31,35,38,31,34.2,2.588435821108957
Total_income_growth,34,37,34,29,33,34,33.4,2.8809720581775866
Profit_margin_growth_rate,43,38,36,39,34,34,38.0,3.391164991562634
EPS_growth,35,35,35,25,32,35,32.4,4.33589667773576
Debt_to_total_assets_ratio,38,45,38,33,37,38,38.2,4.324349662087931
Cash_to_total_assets_ratio,39,41,32,42,41,41,39.0,4.06201920231798
EPS,42,16,45,17,42,42,32.4,14.570518178843194
Average_payment_period,41,43,43,38,29,43,38.8,5.848076606885378
Operating_assets_Ratio,45,40,44,45,43,45,43.4,2.073644135332772
