Features,1,2,3,4,5,Mode,Mean,Std
DuPont_Ratio,1,6,1,1,1,1,2.0,2.23606797749979
P_to_B,2,1,2,6,3,2,2.8,1.9235384061671346
Capital,7,5,3,3,7,3,5.0,2.0
Net_profit_to_Gross_profit,4,3,6,2,4,4,3.8,1.4832396974191326
Net_profit_to_sale,3,4,4,4,5,4,4.0,0.7071067811865476
Operating_profit_to_sale,5,2,5,5,6,5,4.6,1.51657508881031
Stock_market_value,9,8,10,7,11,7,9.0,1.5811388300841898
Net_working_capital,8,7,12,8,10,8,9.0,2.0
Current_ratio,10,11,9,9,2,9,8.2,3.5637059362410923
ROE,20,9,31,29,30,9,23.8,9.364827814754525
Sale_to_current_assets,15,24,26,10,14,10,17.8,6.870225614927067
Quick_Ratio,14,12,11,11,8,11,11.2,2.16794833886788
Equity_Ratio,11,14,7,12,12,12,11.2,2.588435821108957
Debt_to_equity_ratio,12,15,8,13,13,13,12.2,2.588435821108957
Profit_margin_growth_rate,13,35,13,14,22,13,19.4,9.50263121456368
Cash_flow_returns_to_sales,37,13,28,19,34,13,26.2,10.084641788382967
Longterm_debt_to_equity_ratio,16,17,15,15,9,15,14.4,3.1304951684997055
Liquidity_ratios,28,27,19,26,15,15,23.0,5.70087712549569
Cost_to_sales_ratio,21,26,16,17,16,16,19.2,4.324349662087931
EPS,30,16,21,27,25,16,23.8,5.449770637375485
Sales_growth_rate,43,34,20,16,18,16,26.2,11.755849607748477
Net_profit_margin,17,45,14,23,17,17,23.2,12.617448236470002
ROA,22,42,17,20,19,17,24.0,10.222524150130436
DPS,19,18,18,25,24,18,20.8,3.420526275297414
Return_from_market,18,20,30,35,26,18,25.8,7.014271166700072
Current_debt_to_total_debt_Ratio,23,21,25,28,40,21,27.4,7.503332592921628
Fixed_asset_turnover,40,33,35,22,21,21,30.2,8.34865258589672
Operating_cash_flow_to_sales,6,22,22,34,32,22,23.2,11.099549540409287
Net_return_on_working_capital,24,23,24,33,23,23,25.4,4.277849927241487
Current_assets_ratio,26,30,29,24,37,24,29.2,4.969909455915671
P_to_E,25,25,27,18,20,25,23.0,3.8078865529319543
ROI,33,37,32,30,29,29,32.2,3.1144823004794877
P_to_S,32,29,37,31,36,29,33.0,3.391164991562634
EPS_growth,31,31,38,44,33,31,35.4,5.594640292279745
Total_asset_turnover,34,28,34,36,31,34,32.6,3.1304951684997055
Gross_profit_margin,36,10,36,21,28,36,26.2,11.009087155618309
Profit_margin_before_interest_and_taxes,29,38,23,38,27,38,31.0,6.745368781616021
Cash_to_total_assets_ratio,38,43,40,45,41,38,41.4,2.701851217221259
Average_payment_period,39,41,39,32,38,39,37.8,3.420526275297414
Working_capital_return,42,39,41,39,39,39,40.0,1.4142135623730951
Total_income_growth,27,40,33,40,35,40,35.0,5.431390245600108
Debt_to_total_assets_ratio,41,44,44,41,45,41,43.0,1.8708286933869707
Return_ratio_without_risk,35,32,42,42,42,42,38.6,4.774934554525329
Operating_assets_Ratio,45,36,43,43,43,43,42.0,3.4641016151377544
Operating_profit_margin,44,19,45,37,44,44,37.8,10.986355173577815
