Features,1,2,3,4,5,Mode,Mean,Std
DuPont_Ratio,2,7,1,2,1,1,2.6,2.5099800796022267
Operating_cash_flow_to_sales,3,1,7,1,4,1,3.2,2.4899799195977463
P_to_B,1,2,2,3,3,2,2.2,0.8366600265340756
Net_profit_to_sale,4,3,3,5,9,3,4.8,2.4899799195977463
Net_profit_to_Gross_profit,5,5,5,7,5,5,5.4,0.8944271909999159
Capital,7,6,6,4,2,6,5.0,2.0
Operating_profit_to_sale,6,4,4,6,6,6,5.2,1.0954451150103321
Current_ratio,14,15,10,12,7,7,11.6,3.2093613071762426
Net_working_capital,8,8,8,8,10,8,8.4,0.8944271909999159
Quick_Ratio,16,14,11,9,8,8,11.6,3.361547262794322
Stock_market_value,9,9,9,10,14,9,10.2,2.16794833886788
ROE,18,10,33,15,21,10,19.4,8.61974477580398
Liquidity_ratios,15,28,15,11,11,11,16.0,7.0
Equity_Ratio,10,23,12,13,12,12,14.0,5.1478150704935
Gross_profit_margin,20,12,29,21,28,12,22.0,6.892024376045111
Debt_to_equity_ratio,11,24,13,14,13,13,15.0,5.1478150704935
Cost_to_sales_ratio,13,33,17,22,15,13,20.0,8.0
Longterm_debt_to_equity_ratio,19,22,14,20,17,14,18.4,3.049590136395381
Net_profit_margin,32,36,16,25,16,16,25.0,9.1104335791443
Operating_profit_margin,39,16,40,30,45,16,34.0,11.423659658795863
Return_from_market,17,20,28,31,25,17,24.2,5.718391382198319
Current_debt_to_total_debt_Ratio,31,17,26,17,44,17,27.0,11.247221879201993
ROA,30,34,18,44,20,18,29.2,10.639548862616309
DPS,40,18,38,27,39,18,32.4,9.60728889958036
Profit_margin_growth_rate,12,11,24,19,19,19,17.0,5.431390245600108
P_to_S,22,27,19,28,30,19,25.2,4.54972526643093
Cash_flow_returns_to_sales,25,19,44,23,40,19,30.2,11.077003204838391
Sale_to_current_assets,28,35,20,40,26,20,29.8,7.8230428862431785
Fixed_asset_turnover,21,13,21,16,18,21,17.8,3.420526275297414
Profit_margin_before_interest_and_taxes,43,45,27,32,22,22,33.8,9.984988733093294
Net_return_on_working_capital,23,25,25,29,23,23,25.0,2.449489742783178
Total_asset_turnover,24,26,23,24,24,24,24.2,1.0954451150103324
EPS,44,29,43,26,41,26,36.6,8.44393273303382
Sales_growth_rate,41,37,39,45,27,27,37.8,6.723094525588644
Working_capital_return,29,38,31,34,29,29,32.2,3.8340579025361623
Current_assets_ratio,26,31,22,39,31,31,29.8,6.3796551630946325
Average_payment_period,34,32,32,18,32,32,29.6,6.54217089351845
Return_ratio_without_risk,27,41,41,33,33,33,35.0,6.0
Debt_to_total_assets_ratio,33,43,37,35,42,33,38.0,4.358898943540674
EPS_growth,42,44,45,38,34,34,40.6,4.560701700396551
Operating_assets_Ratio,35,30,34,41,35,35,35.0,3.9370039370059056
Cash_to_total_assets_ratio,38,42,35,43,36,35,38.8,3.5637059362410923
P_to_E,36,40,36,36,38,36,37.2,1.7888543819998317
ROI,45,21,30,37,37,37,34.0,9.0
Total_income_growth,37,39,42,42,43,42,40.6,2.5099800796022267
