Features,1,2,3,4,5,Mode,Mean,Std
DuPont_Ratio,1,1,5,8,1,1,3.2,3.1937438845342627
Operating_profit_to_sale,5,5,2,3,2,2,3.4,1.5165750888103102
Net_profit_to_Gross_profit,4,3,4,2,3,3,3.2,0.8366600265340756
Capital,3,2,3,1,7,3,3.2,2.280350850198276
Net_profit_to_sale,6,4,6,4,4,4,4.8,1.0954451150103321
P_to_B,2,6,1,6,6,6,4.2,2.4899799195977463
Net_working_capital,7,7,7,5,5,7,6.2,1.0954451150103321
Stock_market_value,9,8,8,7,8,8,8.0,0.7071067811865476
Operating_cash_flow_to_sales,8,26,31,32,30,8,25.4,9.989994994993742
Current_ratio,13,12,15,9,9,9,11.6,2.6076809620810595
Longterm_debt_to_equity_ratio,15,9,17,11,14,9,13.2,3.1937438845342623
Gross_profit_margin,30,22,9,34,21,9,23.2,9.628083921528727
Equity_Ratio,10,10,13,13,10,10,11.2,1.6431676725154982
Cost_to_sales_ratio,12,21,11,10,16,10,14.0,4.527692569068709
Debt_to_equity_ratio,11,11,12,14,11,11,11.8,1.3038404810405297
Quick_Ratio,14,13,21,12,15,12,15.0,3.5355339059327378
Fixed_asset_turnover,20,24,30,23,12,12,21.8,6.572670690061994
Liquidity_ratios,17,15,18,33,13,13,19.2,7.9498427657407165
Current_assets_ratio,18,14,23,20,29,14,20.8,5.630275304103699
ROE,22,16,22,16,20,16,19.2,3.03315017762062
Profit_margin_growth_rate,21,27,16,17,17,17,19.6,4.560701700396551
Return_from_market,16,18,19,18,18,18,17.8,1.0954451150103324
Cash_flow_returns_to_sales,19,20,10,15,19,19,16.6,4.159326868617084
Operating_profit_margin,45,31,20,38,34,20,33.6,9.235799911215056
P_to_E,34,32,25,21,36,21,29.6,6.348228099241551
Sale_to_current_assets,40,25,14,22,22,22,24.6,9.528903399657276
Sales_growth_rate,23,33,40,29,28,23,30.6,6.348228099241552
Net_return_on_working_capital,33,23,24,19,24,24,24.6,5.128352561983234
P_to_S,24,29,28,25,31,24,27.4,2.8809720581775866
Cash_to_total_assets_ratio,36,43,41,24,32,24,35.2,7.5960516059331775
DPS,25,17,26,26,25,25,23.8,3.8340579025361627
Return_ratio_without_risk,31,34,45,41,26,26,35.4,7.635443667528429
EPS,27,19,27,28,23,27,24.8,3.7682887362833544
Total_asset_turnover,29,30,33,27,27,27,29.2,2.4899799195977463
Average_payment_period,32,28,34,30,33,28,31.4,2.4083189157584592
Net_profit_margin,28,37,44,42,43,28,38.8,6.6105975524153635
Current_debt_to_total_debt_Ratio,35,36,29,45,39,29,36.8,5.848076606885378
Debt_to_total_assets_ratio,41,44,39,31,40,31,39.0,4.847679857416329
Operating_assets_Ratio,38,40,32,35,45,32,38.0,4.949747468305833
ROA,26,35,38,36,35,35,34.0,4.636809247747852
Working_capital_return,43,45,37,44,38,37,41.4,3.6469165057620936
EPS_growth,44,38,43,40,41,38,41.2,2.387467277262665
Profit_margin_before_interest_and_taxes,39,39,36,39,37,39,38.0,1.4142135623730951
Total_income_growth,37,42,35,43,42,42,39.8,3.5637059362410923
ROI,42,41,42,37,44,42,41.2,2.5884358211089573
