Scaling,Alg,Acc Cv,Acc Te,Sp,Se,MCC,F1,AUC-ROC,AUPR
MinMax,HGB,50.61 ± 3.34,46.62 ± 3.15,63.67 ± 6.92,41.1 ± 8.48,5.06 ± 3.8,46.43 ± 7.72,55.18 ± 1.8,66.28 ± 1.34
MinMax,LR,43.86 ± 1.7,40.96 ± 1.88,81.77 ± 3.39,19.98 ± 4.26,2.95 ± 2.76,26.06 ± 5.93,58.61 ± 1.92,69.97 ± 0.88
MinMax,RF,61.59 ± 2.45,58.5 ± 2.58,33.38 ± 2.94,76.41 ± 5.5,11.14 ± 4.42,69.42 ± 3.15,55.88 ± 2.21,66.75 ± 1.15
MinMax,SVM,43.52 ± 2.06,39.38 ± 1.78,81.55 ± 5.18,17.72 ± 4.71,-0.78 ± 3.04,22.13 ± 6.38,54.57 ± 2.43,66.81 ± 1.77
