Scaling,Alg,Acc Cv,Acc Te,Sp,Se,MCC,F1,AUC-ROC,AUPR
MinMax,HGB,53.57 ± 1.52,44.84 ± 3.29,67.78 ± 8.0,36.48 ± 9.15,4.8 ± 4.06,41.12 ± 9.29,55.35 ± 2.38,66.53 ± 1.61
MinMax,LR,51.86 ± 1.03,40.28 ± 1.56,82.87 ± 3.8,18.33 ± 4.08,2.15 ± 2.71,23.5 ± 5.41,57.76 ± 1.69,69.51 ± 0.8
MinMax,RF,56.02 ± 1.44,57.15 ± 3.05,37.4 ± 4.65,71.94 ± 7.14,10.31 ± 4.36,67.18 ± 4.33,55.82 ± 2.1,66.61 ± 1.24
MinMax,SVM,51.38 ± 0.99,38.55 ± 1.31,83.57 ± 5.49,15.02 ± 4.12,-1.78 ± 2.78,18.07 ± 5.14,54.97 ± 2.21,67.08 ± 1.54
