Scaling,Alg,Acc Cv,Acc Te,Sp,Se,MCC,F1,AUC-ROC,AUPR
MinMax,HGB,67.82 ± 1.88,64.76 ± 4.52,66.82 ± 9.01,60.85 ± 4.9,28.75 ± 7.53,62.94 ± 5.1,71.87 ± 4.28,80.44 ± 3.25
MinMax,LR,67.87 ± 1.27,64.78 ± 3.14,82.1 ± 6.55,48.13 ± 5.7,31.33 ± 8.52,53.16 ± 5.44,76.5 ± 5.23,84.2 ± 5.14
MinMax,RF,67.66 ± 2.21,68.08 ± 3.63,56.69 ± 9.12,71.71 ± 5.13,30.37 ± 8.92,69.62 ± 4.4,72.75 ± 5.11,81.49 ± 3.75
MinMax,SVM,67.1 ± 1.61,57.96 ± 5.56,81.52 ± 5.42,36.89 ± 3.69,19.95 ± 5.5,42.87 ± 3.93,69.1 ± 2.77,79.11 ± 2.81
