Scaling,Alg,Acc Cv,Acc Te,Sp,Se,MCC,F1,AUC-ROC,AUPR
MinMax,HGB,77.26 ± 0.94,75.41 ± 1.56,83.63 ± 2.15,70.25 ± 3.41,52.69 ± 2.12,77.67 ± 1.92,84.64 ± 1.14,90.76 ± 0.62
MinMax,LR,75.29 ± 0.53,72.38 ± 0.84,88.65 ± 0.92,62.12 ± 1.42,50.05 ± 1.3,73.29 ± 1.03,81.33 ± 0.94,88.3 ± 0.57
MinMax,RF,76.28 ± 0.98,76.73 ± 1.79,74.08 ± 2.81,78.46 ± 4.12,52.14 ± 2.79,80.4 ± 2.09,83.85 ± 1.2,89.62 ± 0.59
MinMax,SVM,76.48 ± 0.62,72.93 ± 0.81,90.54 ± 1.47,61.88 ± 1.15,51.83 ± 1.63,73.64 ± 0.88,82.46 ± 1.86,89.0 ± 1.87
