Scaling,Alg,Acc Cv,Acc Te,Sp,Se,MCC,F1,AUC-ROC,AUPR
MinMax,HGB,76.06 ± 1.72,75.49 ± 1.61,83.07 ± 2.54,70.71 ± 3.7,52.65 ± 2.14,77.84 ± 2.08,84.73 ± 1.09,90.72 ± 0.58
MinMax,LR,72.29 ± 0.64,72.49 ± 0.82,88.63 ± 0.91,62.3 ± 1.46,50.27 ± 1.24,73.45 ± 1.03,81.26 ± 0.96,88.2 ± 0.56
MinMax,RF,77.14 ± 1.83,76.69 ± 1.78,72.57 ± 3.14,79.29 ± 4.11,51.72 ± 2.84,80.58 ± 2.07,83.73 ± 1.11,89.48 ± 0.55
MinMax,SVM,73.18 ± 0.6,72.82 ± 0.66,89.7 ± 1.33,62.17 ± 0.86,51.27 ± 1.45,73.66 ± 0.67,81.95 ± 1.52,88.62 ± 1.47
