Features,1,2,3,4,5,Mode,Mean,Std
P_to_B,1,2,1,1,10,1,3.0,3.9370039370059056
Return_from_market,2,1,2,2,3,2,2.0,0.7071067811865476
Operating_assets_Ratio,3,7,4,3,5,3,4.4,1.6733200530681511
DuPont_Ratio,10,3,3,8,1,3,5.0,3.8078865529319543
Capital,4,8,8,4,2,4,5.2,2.6832815729997477
Operating_profit_to_sale,5,4,6,5,7,5,5.4,1.1401754250991378
Net_profit_to_sale,7,5,5,6,9,5,6.4,1.6733200530681511
Net_profit_to_Gross_profit,6,6,7,7,8,6,6.8,0.8366600265340756
Current_ratio,19,17,9,11,6,6,12.4,5.458937625582473
Operating_cash_flow_to_sales,39,9,23,20,19,9,22.0,10.862780491200215
Profit_margin_growth_rate,9,35,31,23,24,9,24.4,9.939818911831342
Net_working_capital,8,12,10,10,12,10,10.4,1.6733200530681511
Cost_to_sales_ratio,12,10,20,26,27,10,19.0,7.810249675906654
Stock_market_value,11,11,11,9,13,11,11.0,1.4142135623730951
Current_assets_ratio,17,20,13,21,11,11,16.4,4.33589667773576
Quick_Ratio,21,30,12,12,4,12,15.8,9.959919678390985
Average_payment_period,13,18,40,16,20,13,21.4,10.714476188783099
Working_capital_return,14,19,18,24,25,14,20.0,4.527692569068709
Net_profit_margin,41,31,22,30,14,14,27.6,10.16366075781753
Equity_Ratio,22,14,15,13,15,15,15.8,3.5637059362410923
Net_return_on_working_capital,18,22,21,15,34,15,22.0,7.245688373094719
ROE,15,27,33,22,31,15,25.6,7.26636084983398
Debt_to_equity_ratio,23,15,16,14,16,16,16.8,3.5637059362410923
Return_ratio_without_risk,27,28,24,18,17,17,22.8,5.06951674225463
Total_asset_turnover,31,29,28,17,30,17,27.0,5.70087712549569
ROA,34,26,19,38,22,19,27.8,8.012490249604053
EPS,20,43,38,32,35,20,33.6,8.61974477580398
Liquidity_ratios,30,21,14,27,21,21,22.6,6.18869937870632
Operating_profit_margin,33,38,44,39,23,23,35.4,7.956129712366434
DPS,24,44,32,37,40,24,35.4,7.733045971672483
Current_debt_to_total_debt_Ratio,45,24,39,29,42,24,35.8,8.927485648266257
P_to_S,25,13,26,25,33,25,24.4,7.197221686178634
ROI,29,32,25,41,28,25,31.0,6.123724356957945
P_to_E,43,25,37,35,44,25,36.8,7.62889244910426
Longterm_debt_to_equity_ratio,26,23,17,19,26,26,22.2,4.08656334834051
Cash_to_total_assets_ratio,37,36,30,28,45,28,35.2,6.685805860178712
Cash_flow_returns_to_sales,28,37,45,31,38,28,35.8,6.6105975524153635
Gross_profit_margin,16,41,29,33,29,29,29.6,9.044335243676011
Total_income_growth,32,39,42,43,32,32,37.6,5.319774431308154
Debt_to_total_assets_ratio,42,33,35,45,41,33,39.2,5.019960159204453
Sale_to_current_assets,40,34,27,34,37,34,34.4,4.8270073544588685
Fixed_asset_turnover,38,16,36,36,43,36,33.8,10.35374328443583
EPS_growth,36,40,34,40,39,40,37.8,2.6832815729997477
Profit_margin_before_interest_and_taxes,35,42,43,42,18,42,36.0,10.559356040971437
Sales_growth_rate,44,45,41,44,36,44,42.0,3.6742346141747673
