Features,1,2,3,4,5,Mode,Mean,Std
Return_from_market,1,1,1,1,1,1,1.0,0.0
Sales_growth_rate,2,4,2,2,4,2,2.8,1.0954451150103321
ROI,3,3,3,3,2,3,2.8,0.4472135954999579
ROA,4,5,4,4,3,4,4.0,0.7071067811865476
P_to_B,5,7,5,5,5,5,5.4,0.8944271909999157
Operating_assets_Ratio,6,6,6,6,6,6,6.0,0.0
ROE,7,2,7,7,7,7,6.0,2.23606797749979
Cash_to_total_assets_ratio,8,10,8,8,9,8,8.6,0.8944271909999159
P_to_S,36,8,31,33,35,8,28.6,11.674759098157015
EPS,9,11,9,10,8,9,9.4,1.1401754250991378
Operating_cash_flow_to_sales,35,9,32,38,39,9,30.6,12.381437719424994
Net_profit_margin,10,12,10,11,11,10,10.8,0.8366600265340756
Operating_profit_margin,12,14,12,15,12,12,13.0,1.4142135623730951
Stock_market_value,20,22,14,12,17,12,17.0,4.123105625617661
DuPont_Ratio,13,13,16,9,15,13,13.2,2.6832815729997477
DPS,11,19,13,13,10,13,13.2,3.492849839314596
Profit_margin_before_interest_and_taxes,14,15,11,14,13,14,13.4,1.51657508881031
Sale_to_current_assets,29,24,15,26,30,15,24.8,5.974947698515862
Debt_to_equity_ratio,23,16,19,16,23,16,19.4,3.507135583350036
Current_assets_ratio,17,21,30,24,16,16,21.6,5.683308895353129
EPS_growth,16,36,28,31,34,16,29.0,7.874007874011811
Equity_Ratio,24,17,20,17,24,17,20.4,3.507135583350036
Gross_profit_margin,15,23,18,18,14,18,17.6,3.507135583350036
Average_payment_period,18,18,17,29,21,18,20.6,4.9295030175464944
Net_profit_to_Gross_profit,25,27,24,22,19,19,23.4,3.0495901363953815
Total_income_growth,19,34,27,28,29,19,27.4,5.412947441089743
Operating_profit_to_sale,27,28,26,21,20,20,24.4,3.646916505762094
Fixed_asset_turnover,21,20,21,19,25,21,21.2,2.280350850198276
Net_profit_to_sale,22,25,22,20,18,22,21.4,2.6076809620810595
Net_working_capital,26,26,25,23,22,26,24.4,1.816590212458495
Return_ratio_without_risk,28,29,29,34,33,29,30.6,2.701851217221259
Profit_margin_growth_rate,30,30,23,30,27,30,28.0,3.082207001484488
Current_ratio,31,31,37,27,28,31,30.8,3.8987177379235853
Quick_Ratio,34,37,41,32,31,31,35.0,4.06201920231798
Liquidity_ratios,32,32,35,25,26,32,30.0,4.301162633521313
Working_capital_return,37,39,34,36,32,32,35.6,2.701851217221259
P_to_E,33,35,33,35,36,33,34.4,1.3416407864998738
Total_asset_turnover,39,41,36,37,42,36,39.0,2.5495097567963922
Net_return_on_working_capital,40,42,39,40,38,40,39.8,1.4832396974191324
Debt_to_total_assets_ratio,38,40,40,39,45,40,40.4,2.701851217221259
Current_debt_to_total_debt_Ratio,42,43,45,41,40,40,42.2,1.9235384061671343
Capital,43,44,42,42,37,42,41.6,2.701851217221259
Longterm_debt_to_equity_ratio,41,38,43,43,43,43,41.6,2.1908902300206643
Cost_to_sales_ratio,44,33,38,45,44,44,40.8,5.167204273105526
Cash_flow_returns_to_sales,45,45,44,44,41,44,43.8,1.6431676725154982
