Features,1,2,3,4,5,Mode,Mean,Std
DuPont_Ratio,8,5,1,1,1,1,3.2,3.1937438845342627
Operating_profit_to_sale,1,4,5,6,3,1,3.8,1.9235384061671346
Net_profit_to_Gross_profit,2,1,4,5,2,2,2.8,1.6431676725154984
P_to_B,9,2,2,2,5,2,4.0,3.082207001484488
Net_profit_to_sale,3,3,3,8,4,3,4.2,2.16794833886788
Capital,5,6,6,7,6,6,6.0,0.7071067811865476
Operating_cash_flow_to_sales,6,26,21,28,32,6,22.6,10.08959860450355
Net_working_capital,4,7,9,10,7,7,7.4,2.3021728866442674
Cash_flow_returns_to_sales,29,37,28,9,13,9,23.2,11.755849607748477
Stock_market_value,7,10,11,11,10,10,9.8,1.6431676725154982
Longterm_debt_to_equity_ratio,15,16,10,14,19,10,14.8,3.271085446759225
Profit_margin_growth_rate,10,13,14,31,28,10,19.2,9.57601169589929
Equity_Ratio,11,11,7,3,8,11,8.0,3.3166247903554
Debt_to_equity_ratio,12,12,8,4,9,12,9.0,3.3166247903554
Current_ratio,13,8,12,12,11,12,11.2,1.9235384061671343
Quick_Ratio,16,9,13,13,12,13,12.6,2.5099800796022267
ROE,14,27,25,20,26,14,22.4,5.412947441089743
Fixed_asset_turnover,40,35,39,24,14,14,30.4,11.148990985734988
Liquidity_ratios,24,22,17,21,15,15,19.8,3.7013511046643495
ROA,31,19,15,30,17,15,22.4,7.536577472566709
Net_profit_margin,26,20,16,42,27,16,26.2,9.909591313469996
EPS_growth,44,42,37,45,16,16,36.8,12.029131306956458
Net_return_on_working_capital,19,17,40,25,20,17,24.2,9.311283477587823
Sale_to_current_assets,22,30,38,17,42,17,29.8,10.497618777608569
Sales_growth_rate,37,21,18,19,18,18,22.6,8.142481194328912
Current_assets_ratio,25,31,19,35,39,19,29.8,7.949842765740716
Working_capital_return,20,15,20,18,41,20,22.8,10.377861051295685
Total_income_growth,38,40,35,43,21,21,35.4,8.561541917201597
Return_ratio_without_risk,33,32,41,39,22,22,33.4,7.436396977031283
Cost_to_sales_ratio,23,23,29,16,30,23,24.2,5.630275304103699
P_to_E,21,14,24,27,24,24,22.0,4.949747468305833
ROI,43,24,30,40,25,24,32.4,8.677557259966655
Return_from_market,28,25,26,44,43,25,33.2,9.47100839404126
Cash_to_total_assets_ratio,27,18,27,26,29,27,25.4,4.277849927241487
Total_asset_turnover,41,29,22,29,33,29,30.8,6.942621983083914
P_to_S,32,28,32,32,31,32,31.0,1.7320508075688772
Average_payment_period,17,33,33,36,34,33,30.6,7.700649323271382
Current_debt_to_total_debt_Ratio,45,34,34,33,23,34,33.8,7.791020472312982
DPS,35,41,44,22,35,35,35.4,8.44393273303382
Profit_margin_before_interest_and_taxes,36,36,23,41,36,36,34.4,6.730527468185536
Operating_assets_Ratio,42,44,36,38,37,36,39.4,3.4351128074635335
Gross_profit_margin,18,38,42,15,38,38,30.2,12.657013865837392
Debt_to_total_assets_ratio,39,39,45,34,40,39,39.4,3.9115214431215892
EPS,30,43,43,23,44,43,36.6,9.555103348473002
Operating_profit_margin,34,45,31,37,45,45,38.4,6.387487769068525
