Features,1,2,3,4,5,Mode,Mean,Std
Return_from_market,1,1,1,1,1,1,1.0,0.0
ROI,5,3,3,2,2,2,3.0,1.224744871391589
Sales_growth_rate,3,4,2,3,5,3,3.4,1.140175425099138
ROE,2,7,5,4,4,4,4.4,1.816590212458495
ROA,6,6,4,5,3,6,4.8,1.3038404810405297
P_to_B,4,5,6,6,6,6,5.4,0.8944271909999159
Operating_assets_Ratio,7,2,7,7,7,7,6.0,2.23606797749979
EPS,8,8,8,9,8,8,8.2,0.4472135954999579
P_to_S,27,28,32,8,26,8,24.2,9.338094023943002
Net_profit_margin,9,9,9,12,11,9,10.0,1.4142135623730951
Cash_to_total_assets_ratio,11,10,10,11,9,10,10.2,0.8366600265340756
DPS,10,12,11,10,10,10,10.6,0.8944271909999159
DuPont_Ratio,15,11,14,19,13,11,14.4,2.966479394838265
Operating_profit_margin,12,13,12,13,12,12,12.4,0.5477225575051662
Profit_margin_before_interest_and_taxes,13,14,13,14,14,14,13.6,0.5477225575051662
Gross_profit_margin,14,16,15,15,15,15,15.0,0.7071067811865476
Debt_to_equity_ratio,16,23,16,22,18,16,19.0,3.3166247903554
Total_income_growth,26,25,27,16,30,16,24.8,5.263078946776307
Equity_Ratio,17,22,17,23,19,17,19.6,2.792848008753788
Profit_margin_growth_rate,18,20,26,17,22,17,20.6,3.5777087639996634
Current_ratio,28,17,19,26,21,17,22.2,4.658325879540846
Current_assets_ratio,32,27,29,25,17,17,26.0,5.656854249492381
Stock_market_value,20,26,18,27,24,18,23.0,3.872983346207417
EPS_growth,31,32,33,18,35,18,29.8,6.760177512462228
Operating_cash_flow_to_sales,43,40,41,20,32,20,35.2,9.47100839404126
Fixed_asset_turnover,21,18,20,21,16,21,19.2,2.16794833886788
Quick_Ratio,33,21,28,35,23,21,28.0,6.082762530298219
Net_profit_to_Gross_profit,24,30,23,32,29,23,27.6,3.9115214431215892
Sale_to_current_assets,19,24,22,24,20,24,21.8,2.280350850198276
Net_working_capital,30,35,24,37,31,24,31.4,5.029910535983716
Operating_profit_to_sale,25,31,25,33,28,25,28.4,3.5777087639996634
P_to_E,34,36,38,28,39,28,35.0,4.358898943540674
Net_profit_to_sale,22,29,21,29,27,29,25.6,3.8470768123342687
Cost_to_sales_ratio,40,42,39,30,36,30,37.4,4.669047011971501
Return_ratio_without_risk,23,34,31,31,33,31,30.4,4.33589667773576
Current_debt_to_total_debt_Ratio,41,33,42,34,45,33,39.0,5.244044240850758
Working_capital_return,29,38,34,38,34,34,34.6,3.714835124201342
Liquidity_ratios,36,19,30,36,25,36,29.2,7.328028384224504
Average_payment_period,38,15,37,40,37,37,33.4,10.358571330062848
Total_asset_turnover,37,37,35,39,38,37,37.2,1.4832396974191324
Capital,35,39,40,41,41,41,39.2,2.489979919597747
Net_return_on_working_capital,42,41,43,42,42,42,42.0,0.7071067811865476
Longterm_debt_to_equity_ratio,39,43,45,43,43,43,42.6,2.1908902300206647
Debt_to_total_assets_ratio,44,44,36,44,40,44,41.6,3.5777087639996634
Cash_flow_returns_to_sales,45,45,44,45,44,45,44.6,0.5477225575051661
