Features,1,2,3,4,5,Mode,Mean,Std
Return_from_market,1,1,1,1,1,1,1.0,0.0
ROI,2,3,2,2,2,2,2.2,0.44721359549995787
ROA,3,4,3,3,3,3,3.2,0.44721359549995787
Sales_growth_rate,4,2,4,4,4,4,3.6,0.8944271909999161
P_to_B,6,5,5,5,5,5,5.2,0.44721359549995787
Operating_assets_Ratio,7,6,6,6,6,6,6.2,0.44721359549995787
ROE,5,7,7,7,7,7,6.6,0.8944271909999157
Cash_to_total_assets_ratio,8,11,8,9,10,8,9.2,1.3038404810405297
Net_profit_margin,9,12,9,8,8,8,9.2,1.6431676725154984
Operating_profit_margin,10,14,10,10,9,10,10.6,1.9493588689617927
Profit_margin_before_interest_and_taxes,12,17,11,11,12,11,12.6,2.5099800796022267
EPS,11,8,12,12,13,12,11.2,1.9235384061671343
Gross_profit_margin,21,23,15,13,14,13,17.2,4.494441010848846
Total_income_growth,13,32,27,26,25,13,24.6,7.021395872616783
Operating_cash_flow_to_sales,36,13,34,33,38,13,30.8,10.134100848126586
DuPont_Ratio,14,22,13,14,15,14,15.6,3.646916505762094
Stock_market_value,15,15,14,15,11,15,14.0,1.7320508075688772
Operating_profit_to_sale,23,21,19,20,16,16,19.8,2.588435821108957
Fixed_asset_turnover,27,16,23,18,24,16,21.6,4.505552130427524
Net_profit_to_Gross_profit,22,20,18,19,17,17,19.2,1.9235384061671346
Net_working_capital,20,18,17,21,18,18,18.8,1.6431676725154984
Net_profit_to_sale,18,19,16,17,19,19,17.8,1.3038404810405297
EPS_growth,19,36,29,28,30,19,28.4,6.107372593840989
Debt_to_equity_ratio,16,27,20,22,20,20,21.0,4.0
Equity_Ratio,17,28,21,23,21,21,22.0,4.0
DPS,24,10,22,16,22,22,18.8,5.761944116355173
Profit_margin_growth_rate,28,30,26,24,23,23,26.2,2.8635642126552705
Sale_to_current_assets,25,29,24,25,26,25,25.8,1.9235384061671343
Current_assets_ratio,30,25,25,27,27,25,26.8,2.0493901531919194
Return_ratio_without_risk,26,38,35,30,41,26,34.0,6.041522986797286
Capital,32,33,30,36,28,28,31.8,3.03315017762062
Liquidity_ratios,37,24,33,29,29,29,30.4,4.878524367060187
P_to_S,29,9,28,31,31,31,25.6,9.370165420097983
Average_payment_period,34,31,37,38,36,31,35.2,2.7748873851023217
Working_capital_return,39,35,32,34,32,32,34.4,2.8809720581775866
Current_ratio,38,34,40,32,33,32,35.4,3.4351128074635335
Cost_to_sales_ratio,33,39,36,43,40,33,38.2,3.8340579025361627
P_to_E,40,26,31,35,35,35,33.4,5.224940191045253
Quick_Ratio,35,37,38,37,34,37,36.2,1.6431676725154982
Cash_flow_returns_to_sales,44,43,39,39,37,39,40.4,2.9664793948382653
Total_asset_turnover,41,42,41,41,42,41,41.4,0.5477225575051661
Net_return_on_working_capital,42,40,43,42,39,42,41.2,1.6431676725154982
Longterm_debt_to_equity_ratio,43,45,44,44,44,44,44.0,0.7071067811865476
Debt_to_total_assets_ratio,31,41,45,45,43,45,41.0,5.830951894845301
Current_debt_to_total_debt_Ratio,45,44,42,40,45,45,43.2,2.16794833886788
