Features,1,2,3,4,5,Mode,Mean,Std
P_to_B,1,2,1,1,1,1,1.2,0.44721359549995804
DuPont_Ratio,2,1,2,2,6,2,2.6,1.9493588689617927
Capital,9,7,6,3,5,3,6.0,2.23606797749979
Net_profit_to_Gross_profit,4,4,3,4,3,4,3.6,0.5477225575051661
Operating_profit_to_sale,5,6,4,5,4,4,4.8,0.8366600265340756
Net_profit_to_sale,3,5,5,6,2,5,4.2,1.6431676725154984
Equity_Ratio,6,9,7,7,8,7,7.4,1.1401754250991378
Debt_to_equity_ratio,7,10,8,8,7,7,8.0,1.224744871391589
Quick_Ratio,13,8,18,12,11,8,12.4,3.646916505762094
Net_working_capital,10,11,9,9,9,9,9.6,0.8944271909999159
Stock_market_value,11,12,10,13,10,10,11.2,1.3038404810405297
Gross_profit_margin,15,18,11,29,14,11,17.4,6.9498201415576215
Current_ratio,12,3,12,11,12,12,10.0,3.9370039370059056
Sale_to_current_assets,14,23,13,16,21,13,17.4,4.39317652729776
ROE,27,21,14,19,13,13,18.8,5.674504383644443
Operating_cash_flow_to_sales,39,13,38,28,27,13,29.0,10.51189802081432
Liquidity_ratios,17,14,23,15,22,14,18.2,4.08656334834051
Cost_to_sales_ratio,20,15,17,14,15,15,16.2,2.3874672772626644
Cash_flow_returns_to_sales,30,43,16,37,35,16,32.2,10.183319694480774
Cash_to_total_assets_ratio,16,38,44,40,39,16,35.4,11.081516141756055
Net_profit_margin,31,17,36,24,34,17,28.4,7.829431652425353
Fixed_asset_turnover,18,31,15,22,18,18,20.8,6.220932405998316
DPS,45,30,31,18,28,18,30.4,9.6591925128346
Longterm_debt_to_equity_ratio,8,19,19,21,17,19,16.8,5.118593556827892
Current_assets_ratio,19,27,32,17,19,19,22.8,6.418722614352484
Profit_margin_growth_rate,21,26,20,31,20,20,23.6,4.827007354458868
Operating_assets_Ratio,44,39,37,20,38,20,35.6,9.126883367283709
Operating_profit_margin,29,35,21,44,30,21,31.8,8.46758525200662
Return_from_market,23,22,22,10,16,22,18.6,5.549774770204643
Sales_growth_rate,22,44,35,39,37,22,35.4,8.203657720797473
Net_return_on_working_capital,26,24,27,33,23,23,26.6,3.9115214431215892
EPS,42,37,33,23,24,23,31.8,8.228000972289685
Return_ratio_without_risk,24,20,24,27,31,24,25.2,4.08656334834051
P_to_E,34,28,29,30,25,25,29.2,3.271085446759225
ROA,25,25,39,36,41,25,33.2,7.694153624668537
Profit_margin_before_interest_and_taxes,41,36,25,34,44,25,36.0,7.314369419163897
P_to_S,32,16,28,26,26,26,25.6,5.89915248150105
Debt_to_total_assets_ratio,28,41,30,35,43,28,35.4,6.58027355054484
Average_payment_period,35,42,34,32,33,32,35.2,3.9623225512317894
Current_debt_to_total_debt_Ratio,37,40,43,42,32,32,38.8,4.43846820423443
ROI,36,32,41,45,42,32,39.2,5.167204273105526
Total_asset_turnover,33,33,26,25,36,33,30.6,4.8270073544588685
EPS_growth,40,29,40,38,40,40,37.4,4.774934554525329
Total_income_growth,43,34,42,43,45,43,41.4,4.277849927241487
Working_capital_return,38,45,45,41,29,45,39.6,6.618156843109719
