CompanyId,PersianYear,Return,Beta,Debt_to_total_assets_ratio,Operating_profit_to_sale,Fixed_asset_turnover,Return_from_market,Current_assets_ratio,Working_capital_return,Longterm_debt_to_equity_ratio,Return_ratio_without_risk,Profit_margin_growth_rate,Stock_market_value,Net_profit_to_sale,Net_profit_to_Gross_profit,Current_ratio,Net_working_capital,Operating_assets_Ratio,Total_asset_turnover,DPS,EPS_growth,Liquidity_ratios,ROA,Quick_Ratio,Average_payment_period,ROE,EPS,Total_income_growth,P_to_E,ROI,Capital,P_to_B,P_to_S,Cash_to_total_assets_ratio,Debt_to_equity_ratio,Equity_Ratio,DuPont_Ratio,Gross_profit_margin,Operating_profit_margin,Net_profit_margin,Sales_growth_rate,Current_debt_to_total_debt_Ratio,Cost_to_sales_ratio,Sale_to_current_assets,Operating_cash_flow_to_sales,Cash_flow_returns_to_sales,Profit_margin_before_interest_and_taxes,Net_return_on_working_capital,r_dicho,b_dicho
1,1390,50.83333336,-0.260216022,0.7634408602150536,0.00023146142815104847,0.18468036091380302,0.15421620222579702,0.4216867469879519,0.0015193532991928705,0.014564831261101242,0.714285714285714,0.3082470414201184,5.486497883710419e-05,0.0002596489174773721,0.00010658623986915969,0.02427851580393953,0.008948005370611451,0.0,7.409090508126685e-08,0.046875,0.3562033181307423,0.33356164383561643,0.27690074396661224,0.021040974529346623,3.038718292939431e-06,0.09898120723113063,0.053399511541794696,0.38980757666867105,0.36689459679739184,0.4695371367061356,0.0,0.05819610778443114,0.0010466333294569137,0.03919989260303397,0.05979073243647235,0.05979073243647233,0.44247095621090266,0.16252795104154408,0.2880902313133244,0.05723894512519978,0.1615026852703261,0.8543756967670011,0.021901347029750946,0.3846153846153846,0.0027388641116272185,0.4151131088350159,0.04204857161972302,0.10722653085094949,1,-1
4,1390,35.09933773,1.562188671,0.6236559139784945,0.017683737075663886,0.0249568055288923,0.15421620222579702,0.5180722891566265,0.0038941931807379114,0.008221263638670387,0.714285714285714,0.3098187869822486,0.013330393885621728,0.018984199688960705,0.01655876901099684,0.07970682546953733,0.017982963568793996,0.0,2.0406393348654005e-08,0.0153125,0.35045277282041115,0.3972602739726027,0.4233351478860461,0.07087486157253599,1.4666875588474857e-06,0.08414615463180472,0.021996375955250926,0.3888304269392664,0.36717925975644833,0.5266953713670612,0.02043602542770596,0.051459580838323346,0.007849749970926852,0.2635253054101222,0.01046337817638266,0.010463378176382654,0.8281948168007149,0.7698011062728021,0.8037660103230739,0.23481619605753862,0.14571089700022655,0.9226588628762542,0.03701909099718966,0.09478021978021976,0.05764568721431611,0.529806204406455,0.23740549943132402,0.11126179251344882,1,-1
6,1390,167.0454545,0.899287381,0.0,0.0002437997637632781,0.1315031675945479,0.15421620222579702,0.963855421686747,0.0020413704041844934,0.0009642222786094898,0.714285714285714,0.31166789940828404,0.00022817828407137094,0.00027126808248916764,0.00016622165287855174,0.29683921209344943,0.009320300888723357,0.0,3.1394451305621556e-08,0.0015625,0.3481393350518871,0.5753424657534246,0.2527671928869534,0.21705426356589147,2.4354212809447786e-06,0.05036513124297824,0.018703222248483416,0.3919873722188815,0.3704393997506951,0.313778256189451,0.00013012500533299203,0.08607784431137724,0.008101717253944258,0.01248489730165123,0.008968609865470852,0.00896860986547085,0.8466264521894548,0.46616452865717317,0.41320971133626455,0.10025972296217368,0.1880488812484175,0.6188684503901896,0.14158348677197405,0.06318681318681317,0.027064788940910856,0.36445361432466294,0.08035057202114138,0.10975492576739763,1,1
9,1390,336.2728785,0.573319403,0.0,0.00024000161888881234,0.016509886734497985,0.15421620222579702,0.4216867469879519,0.001023406327072025,0.007104795737122557,0.714285714285714,0.4736501479289941,0.00021432673336064007,0.0003601728069676854,0.00013922392791331834,0.041685753550160326,0.009034937307220232,0.0,1.4441447600585912e-08,0.015625,0.45911824971908255,0.3513698630136986,0.26066049718744333,0.04263565891472869,2.9429036461090433e-06,0.08352058012460423,0.04985425037422202,0.5065393866506314,0.36813213155623736,0.36899892357373515,4.368787064294552e-05,0.08196107784431136,0.009710431445516922,0.03624647603705195,0.048330842052815154,0.04833084205281514,0.4987712243074173,0.5007649758738378,0.4668323456318103,0.195924347362813,0.16606031530270926,0.7593366778149386,0.11997286558775076,0.05837912087912087,0.01679404852230879,0.4374769729570408,0.21820432193751255,0.11659371562069758,1,1
15,1390,0.0,0.0,0.0,0.00017135888488900903,0.04434632367057017,0.15421620222579702,0.7951807228915664,0.0028001253824168106,0.007307789901040344,0.714285714285714,0.46948964497041423,4.847367063355281e-06,0.0003749669232782242,5.934488561071396e-05,0.10581768208886853,0.009206623877921462,0.0,1.7894837244204284e-08,0.015625,0.5018837993257982,0.4253424657534246,0.4441117764471058,0.07641196013289037,4.54016733507529e-06,0.11085435604126237,0.02959111321200662,0.5544197233914612,0.3654922571675136,0.4508073196986006,0.00012799180852425445,0.0024326347305389222,0.0009109586386013878,0.3736071955967244,0.02192326856003986,0.021923268560039857,0.6906836461126005,0.3169353889608097,0.33110303957178355,0.2753063399041023,0.15793120910459896,0.9101170568561872,0.04506250605678846,0.03846153846153846,0.0464126431889261,0.2732296809372928,0.2853080885796481,0.11043797437061187,-1,-1
27,1390,16.55172412,0.051489279,0.0,0.00021054627280745844,0.10155500095987713,0.15421620222579702,0.6385542168674698,0.0016781441084966955,0.027505709210860183,0.714285714285714,0.30316198224852076,0.00018831284544048696,0.00020533381103108732,0.0005974789242429311,0.03389830508474577,0.009050575353118427,0.0,6.05912910198496e-08,0.00021875,0.3476105492762245,0.33493150684931505,0.040645980765741246,0.016611295681063124,1.0329630617773317e-06,0.022878153406189358,0.007515953675254078,0.3800360793746242,0.3743168088982644,0.07534983853606027,0.0005633175476769486,0.027881736526946106,0.0002713493817110517,0.14042153309169017,0.273542600896861,0.273542600896861,0.11785075960679177,0.11074496881252206,0.1874402599885299,0.020245071923281833,0.16144937965591227,0.9140189520624302,0.08557030720031011,0.1916208791208791,0.005968132945944445,0.34802151646894114,0.008463236769920385,0.10936282724074066,-1,1
28,1390,17.39130434,0.057653426,0.0,0.000339046417573694,0.07218276060664235,0.15421620222579702,0.602409638554217,0.008712691072348833,0.013245369195635626,0.714285714285714,0.30759985207100593,6.398673174417087e-05,0.00031766864111499953,0.00034988294584472533,0.03664681630783326,0.009032209876029734,0.0,8.068373985544738e-08,0.0096875,0.3528984070328508,0.35410958904109585,0.1467065868263473,0.03377630121816168,1.025022621432272e-06,0.056799611888469,0.01641849838493658,0.38604930847865304,0.36649007575031156,0.2672766415500538,0.0002440377149195785,0.02282934131736527,0.00021320308563011208,0.04725466505571218,0.07972097658196313,0.07972097658196313,0.3672922252010724,0.15170060021183948,0.24488625501816094,0.03569525839104955,0.12883967003824678,0.9077480490523968,0.05281519527085959,0.2706043956043956,0.006569572700186909,0.38062780929924106,0.02227871813741888,0.11214808702499474,-1,1
30,1390,30.43478259,0.844817079,0.0,0.00016519394350523228,0.05202534075638318,0.15421620222579702,0.602409638554217,0.002706202681501889,0.010403450900786601,0.714285714285714,0.305935650887574,1.4267097232052795e-05,0.00016552363549420944,8.652918780445623e-05,0.03389830508474577,0.008987568210790888,0.0,2.7627117148946963e-08,0.00078125,0.3593760327847181,0.34726027397260273,0.038377789874795856,0.027685492801771874,3.4897353045388264e-06,0.014477581452354202,0.00820924919246829,0.393340348767288,0.36897113817240385,0.0518837459634015,0.00010751311916037373,0.0016841317365269464,0.00038764197387293096,0.13303799167673516,0.030891878425510718,0.030891878425510708,0.6113717605004468,0.15817347299046722,0.2241445230357484,0.025938998401704848,0.13928757046335907,0.9528985507246377,0.11687178990212231,0.1243131868131868,0.01417547236153006,0.37506447572028595,0.019401886666220648,0.1103533544788162,1,1
31,1390,5.555555551,0.609138981,0.0,0.0002281591834975812,0.07352658859665963,0.15421620222579702,0.6867469879518073,0.0027715974592417173,0.012230398376046687,0.714285714285714,0.30723002958579887,6.331104634364742e-05,0.00024691562765700504,0.00018537780346845523,0.03893724232707284,0.009051708107519247,0.0,7.409090508126685e-08,0.005625,0.352039130147399,0.3547945205479452,0.10061694792233715,0.03377630121816168,1.1053092960323207e-06,0.0453350015320192,0.012274481997951628,0.38507215874924833,0.3673200930098763,0.20161463939720126,0.00023441273091855453,0.031062874251497005,0.00029073148040469825,0.031010873942811122,0.09616342800199303,0.09616342800199303,0.32071045576407503,0.09721078027539132,0.21487287325559165,0.030234416622269576,0.15721158331001214,0.9096989966555182,0.04167070452563233,0.23557692307692307,0.00766141717711938,0.37329599882101544,0.016223991436408645,0.11041227206702907,-1,1
38,1390,36.36363634,0.43920663,0.0,0.00024594960392590226,0.04434632367057017,0.15421620222579702,0.5783132530120483,0.0036335796302552938,0.015529053539710732,0.714285714285714,0.30427144970414205,2.4121293113286892e-05,0.00019290188283926829,0.00015908640658257684,0.03389830508474577,0.008995592661536036,0.0,3.421995192312749e-08,0.00703125,0.35441866613788087,0.347945205479452,0.056251134095445465,0.04374307862679956,3.2144667059100875e-06,0.028584924931059134,0.014086504372488776,0.3877781118460613,0.3674189759324959,0.09397201291711517,5.9729510644652075e-05,0.014970059880239521,0.0003101135790983448,0.0033561551886159223,0.14150473343298456,0.14150473343298453,0.23380250223413762,0.17900435447805108,0.2729879564136876,0.030167820990942992,0.16675328829008917,0.6431159420289856,0.03992634945246633,0.1243131868131868,0.005764568721431612,0.4188342789772309,0.03131063089583194,0.10796304024561595,1,1
