Features,1,2,3,4,5,Mode,Mean,Std
Return_from_market,1,1,1,1,1,1,1.0,0.0
Operating_assets_Ratio,3,2,2,3,2,2,2.4,0.5477225575051661
ROI,2,4,3,2,3,2,2.8,0.8366600265340756
ROA,4,5,4,4,4,4,4.2,0.44721359549995787
Sales_growth_rate,6,3,5,5,6,5,5.0,1.224744871391589
P_to_B,5,6,6,7,5,5,5.8,0.8366600265340756
ROE,7,7,7,6,7,7,6.8,0.4472135954999579
Cash_to_total_assets_ratio,8,9,8,8,9,8,8.4,0.5477225575051661
Net_profit_margin,9,11,9,9,8,9,9.2,1.0954451150103321
EPS,13,10,11,10,11,10,11.0,1.224744871391589
Profit_margin_before_interest_and_taxes,12,15,10,11,10,10,11.6,2.073644135332772
DuPont_Ratio,10,13,12,14,12,12,12.2,1.4832396974191326
Operating_profit_margin,11,14,13,12,13,13,12.6,1.1401754250991378
Current_assets_ratio,23,17,32,13,16,13,20.2,7.529940238806679
Equity_Ratio,21,21,15,23,15,15,19.0,3.7416573867739413
Net_working_capital,15,30,24,22,27,15,23.6,5.683308895353129
Net_profit_to_sale,16,24,19,17,20,16,19.2,3.1144823004794873
Operating_cash_flow_to_sales,43,16,36,32,39,16,33.2,10.425929215182693
DPS,19,12,17,15,17,17,16.0,2.6457513110645907
Net_profit_to_Gross_profit,17,26,21,19,22,17,21.0,3.391164991562634
Gross_profit_margin,22,18,14,16,18,18,17.6,2.966479394838265
Stock_market_value,14,23,18,18,19,18,18.4,3.209361307176242
Operating_profit_to_sale,18,27,22,20,24,18,22.2,3.492849839314596
Debt_to_equity_ratio,20,20,16,24,14,20,18.8,3.8987177379235853
Total_income_growth,31,34,20,33,23,20,28.2,6.300793600809345
Profit_margin_growth_rate,25,32,26,29,21,21,26.6,4.159326868617084
Average_payment_period,39,22,38,40,37,22,35.2,7.463243262818115
EPS_growth,33,36,23,39,25,23,31.2,6.942621983083913
Sale_to_current_assets,32,31,28,26,30,26,29.4,2.4083189157584592
Capital,26,38,33,30,32,26,31.8,4.3817804600413295
P_to_E,27,33,34,38,31,27,32.6,4.03732584763727
Return_ratio_without_risk,24,19,25,28,28,28,24.8,3.7013511046643495
Fixed_asset_turnover,28,28,27,21,26,28,26.0,2.9154759474226504
P_to_S,29,8,29,25,29,29,24.0,9.1104335791443
Working_capital_return,35,37,30,31,33,30,33.2,2.8635642126552705
Current_debt_to_total_debt_Ratio,30,40,45,37,41,30,38.6,5.594640292279745
Quick_Ratio,34,25,35,41,34,34,33.8,5.718391382198319
Total_asset_turnover,41,39,37,36,35,35,37.6,2.4083189157584592
Current_ratio,36,29,31,43,36,36,35.0,5.431390245600108
Liquidity_ratios,38,35,41,27,38,38,35.8,5.357238094391549
Net_return_on_working_capital,40,41,42,34,40,40,39.4,3.1304951684997055
Debt_to_total_assets_ratio,42,42,39,35,42,42,40.0,3.082207001484488
Cost_to_sales_ratio,37,43,44,42,43,43,41.8,2.7748873851023217
Longterm_debt_to_equity_ratio,44,44,43,45,44,44,44.0,0.7071067811865476
Cash_flow_returns_to_sales,45,45,40,44,45,45,43.8,2.1679483388678804
