Features,1,2,3,4,5,Mode,Mean,Std
Return_from_market,1,1,1,1,1,1,1.0,0.0
ROI,2,2,2,2,3,2,2.2,0.4472135954999579
ROA,3,3,4,3,4,3,3.4,0.5477225575051661
Sales_growth_rate,4,4,5,4,2,4,3.8,1.0954451150103321
P_to_B,5,6,6,5,5,5,5.4,0.5477225575051662
Operating_assets_Ratio,6,5,7,7,6,6,6.2,0.8366600265340756
ROE,7,7,3,6,7,7,6.0,1.7320508075688772
P_to_S,8,8,9,8,8,8,8.2,0.4472135954999579
Cash_to_total_assets_ratio,9,9,8,11,10,9,9.4,1.1401754250991378
EPS,16,13,12,17,9,9,13.4,3.2093613071762426
Operating_profit_margin,12,10,10,10,13,10,11.0,1.4142135623730951
Net_profit_margin,10,11,11,9,14,11,11.0,1.8708286933869707
DuPont_Ratio,11,14,15,13,23,11,15.2,4.604345773288535
Operating_cash_flow_to_sales,20,15,13,19,11,11,15.6,3.847076812334269
Profit_margin_before_interest_and_taxes,13,12,14,12,16,12,13.4,1.6733200530681511
Debt_to_equity_ratio,14,20,30,15,28,14,21.4,7.334848328356899
Total_income_growth,40,28,26,29,15,15,27.6,8.905054744357274
Stock_market_value,17,18,16,21,20,16,18.4,2.0736441353327724
DPS,21,17,17,18,12,17,17.0,3.24037034920393
EPS_growth,42,32,31,33,17,17,31.0,8.972179222463181
Gross_profit_margin,19,16,18,14,18,18,17.0,2.0
Average_payment_period,18,34,35,30,33,18,30.0,6.96419413859206
Current_assets_ratio,27,21,19,22,19,19,21.6,3.2863353450309964
Fixed_asset_turnover,28,25,20,20,24,20,23.4,3.4351128074635335
Net_profit_to_sale,22,22,21,23,27,22,23.0,2.345207879911715
Cost_to_sales_ratio,23,29,32,28,22,22,26.8,4.207136793592526
Net_profit_to_Gross_profit,26,23,23,24,30,23,25.2,2.949576240750525
Operating_profit_to_sale,25,24,24,25,31,24,25.8,2.949576240750525
Liquidity_ratios,24,31,27,34,32,24,29.6,4.03732584763727
Profit_margin_growth_rate,31,26,22,26,21,26,25.2,3.96232255123179
Net_working_capital,29,27,25,27,26,27,26.8,1.4832396974191324
Equity_Ratio,15,19,29,16,29,29,21.6,6.913754406977442
Current_ratio,30,33,34,31,35,30,32.6,2.073644135332772
Quick_Ratio,32,36,36,32,38,32,34.8,2.6832815729997477
Sale_to_current_assets,33,35,33,37,25,33,32.6,4.560701700396552
Return_ratio_without_risk,34,45,28,35,34,34,35.2,6.1400325732035
Working_capital_return,36,37,37,36,36,36,36.4,0.5477225575051661
Capital,37,41,38,39,42,37,39.4,2.073644135332772
Total_asset_turnover,39,39,39,42,37,39,39.2,1.7888543819998317
Net_return_on_working_capital,35,40,41,41,40,40,39.4,2.509980079602227
Longterm_debt_to_equity_ratio,41,43,45,45,41,41,43.0,2.0
P_to_E,38,30,40,43,43,43,38.8,5.35723809439155
Cash_flow_returns_to_sales,43,42,43,38,44,43,42.0,2.345207879911715
Debt_to_total_assets_ratio,44,38,44,40,39,44,41.0,2.8284271247461903
Current_debt_to_total_debt_Ratio,45,44,42,44,45,44,44.0,1.224744871391589
