Features,1,2,3,4,5,Mode,Mean,Std
P_to_B,2,1,1,6,1,1,2.2,2.16794833886788
Capital,1,2,2,1,2,2,1.6,0.5477225575051661
Net_profit_to_Gross_profit,3,4,3,2,4,3,3.2,0.8366600265340756
Operating_cash_flow_to_sales,30,26,20,27,3,3,21.2,10.802777420645118
Operating_profit_to_sale,4,7,4,3,6,4,4.8,1.6431676725154984
DuPont_Ratio,6,5,7,4,8,4,6.0,1.5811388300841898
Net_profit_to_sale,5,6,5,5,5,5,5.2,0.44721359549995787
Net_working_capital,9,10,6,7,7,7,7.8,1.6431676725154984
Quick_Ratio,8,3,11,8,11,8,8.2,3.271085446759225
Cost_to_sales_ratio,16,8,12,14,24,8,14.8,5.932958789676531
Current_assets_ratio,26,17,8,22,16,8,17.8,6.797058187186572
Current_ratio,7,9,16,9,9,9,10.0,3.4641016151377544
Stock_market_value,10,14,9,10,10,10,10.6,1.9493588689617927
Return_from_market,14,20,10,16,28,10,17.6,6.841052550594828
Equity_Ratio,19,15,17,11,13,11,15.0,3.1622776601683795
ROE,11,11,14,21,20,11,15.4,4.8270073544588685
Debt_to_equity_ratio,20,16,18,12,14,12,16.0,3.1622776601683795
Gross_profit_margin,12,13,15,33,21,12,18.8,8.67179335547152
Liquidity_ratios,13,22,32,13,26,13,21.2,8.28854631404084
Fixed_asset_turnover,15,19,19,15,29,15,19.4,5.727128425310541
Net_profit_margin,35,27,21,18,15,15,23.2,7.9498427657407165
Profit_margin_growth_rate,18,12,22,17,17,17,17.2,3.5637059362410923
Sale_to_current_assets,17,18,13,19,18,18,17.0,2.345207879911715
Profit_margin_before_interest_and_taxes,43,38,35,26,19,19,32.2,9.628083921528727
EPS,21,21,25,28,30,21,25.0,4.06201920231798
P_to_E,36,33,39,23,22,22,30.6,7.700649323271382
Operating_profit_margin,23,23,27,43,27,23,28.6,8.294576541331088
Net_return_on_working_capital,22,32,24,24,23,24,25.0,4.0
DPS,24,24,26,29,38,24,28.2,5.848076606885378
Longterm_debt_to_equity_ratio,28,25,23,25,12,25,22.6,6.18869937870632
Cash_flow_returns_to_sales,25,28,40,34,25,25,30.4,6.50384501660364
Current_debt_to_total_debt_Ratio,27,39,30,32,31,27,31.8,4.43846820423443
Total_asset_turnover,38,37,29,31,33,29,33.6,3.847076812334269
Sales_growth_rate,29,30,42,40,34,29,35.0,5.830951894845301
ROI,33,29,36,42,41,29,36.2,5.449770637375485
P_to_S,31,31,28,30,37,31,31.4,3.361547262794322
Operating_assets_Ratio,32,41,31,36,44,31,36.8,5.630275304103699
Debt_to_total_assets_ratio,41,36,38,45,32,32,38.4,4.9295030175464944
Average_payment_period,34,35,34,20,36,34,31.8,6.648308055437864
Total_income_growth,37,34,44,41,42,34,39.6,4.03732584763727
Cash_to_total_assets_ratio,39,45,37,37,45,37,40.6,4.09878030638384
Working_capital_return,44,44,33,39,39,39,39.8,4.54972526643093
EPS_growth,40,40,41,44,43,40,41.6,1.8165902124584952
Return_ratio_without_risk,42,42,43,38,35,42,40.0,3.391164991562634
ROA,45,43,45,35,40,45,41.6,4.219004621945797
