Scaling,Alg,Acc Cv,Acc Te,Sp,Se,MCC,F1,AUC-ROC,AUPR
MinMax,HGB,57.8 ± 2.3,52.11 ± 4.38,72.49 ± 6.32,40.12 ± 9.85,12.81 ± 5.1,50.01 ± 9.33,60.99 ± 3.4,71.44 ± 2.9
MinMax,LR,55.21 ± 1.34,45.76 ± 2.33,90.45 ± 3.73,19.32 ± 5.54,12.99 ± 2.75,30.05 ± 7.28,63.64 ± 1.97,73.89 ± 1.64
MinMax,RF,58.72 ± 1.64,61.7 ± 3.28,40.48 ± 4.83,73.82 ± 7.06,15.34 ± 5.1,70.43 ± 4.1,60.49 ± 3.03,70.79 ± 2.23
MinMax,SVM,54.25 ± 1.8,43.33 ± 3.09,92.14 ± 4.55,14.6 ± 7.31,10.1 ± 3.35,23.17 ± 10.17,59.56 ± 3.1,71.56 ± 2.48
