Scaling,Alg,Acc Cv,Acc Te,Sp,Se,MCC,F1,AUC-ROC,AUPR
MinMax,HGB,58.11 ± 2.39,52.08 ± 4.45,72.6 ± 6.25,40.07 ± 10.09,12.89 ± 5.22,49.95 ± 9.54,61.02 ± 3.58,71.53 ± 3.04
MinMax,LR,55.22 ± 1.34,45.79 ± 2.32,90.45 ± 3.74,19.37 ± 5.52,13.03 ± 2.79,30.11 ± 7.28,63.64 ± 1.98,73.88 ± 1.65
MinMax,RF,58.75 ± 1.64,61.74 ± 3.25,40.2 ± 4.85,74.08 ± 6.95,15.38 ± 5.1,70.51 ± 4.01,60.58 ± 3.03,70.92 ± 2.23
MinMax,SVM,54.27 ± 1.79,43.33 ± 3.1,92.15 ± 4.54,14.6 ± 7.31,10.11 ± 3.33,23.17 ± 10.18,59.66 ± 2.96,71.61 ± 2.48
