Features,1,2,3,4,5,Mode,Mean,Std
DuPont_Ratio,1,1,1,1,1,1,1.0,0.0
Net_profit_to_sale,2,3,3,3,2,3,2.6,0.5477225575051661
Stock_market_value,3,4,2,4,3,3,3.2,0.8366600265340756
Operating_profit_to_sale,4,6,4,6,5,4,5.0,1.0
Net_profit_to_Gross_profit,5,5,5,5,6,5,5.2,0.4472135954999579
Operating_assets_Ratio,6,8,9,10,11,6,8.8,1.9235384061671346
Current_ratio,7,7,6,2,4,7,5.2,2.16794833886788
Quick_Ratio,10,10,7,7,7,7,8.2,1.6431676725154982
Net_working_capital,8,2,8,12,13,8,8.6,4.33589667773576
Capital,9,9,10,13,15,9,11.2,2.6832815729997477
Longterm_debt_to_equity_ratio,12,14,11,11,8,11,11.2,2.16794833886788
Sales_growth_rate,11,25,18,15,21,11,18.0,5.385164807134504
ROA,15,13,12,14,12,12,13.2,1.3038404810405297
Equity_Ratio,13,11,13,8,9,13,10.8,2.280350850198276
Debt_to_equity_ratio,14,12,14,9,10,14,11.8,2.280350850198276
Operating_cash_flow_to_sales,17,22,15,18,16,15,17.6,2.7018512172212596
Cash_to_total_assets_ratio,31,15,35,24,38,15,28.6,9.235799911215054
Net_profit_margin,16,19,16,17,14,16,16.4,1.8165902124584952
Cost_to_sales_ratio,19,18,20,16,25,16,19.6,3.361547262794322
Sale_to_current_assets,34,16,17,22,37,16,25.2,9.731392500562292
Liquidity_ratios,24,17,19,21,17,17,19.6,2.9664793948382653
ROI,21,20,22,19,18,18,20.0,1.5811388300841898
P_to_S,18,33,21,25,24,18,24.2,5.630275304103699
Profit_margin_before_interest_and_taxes,20,31,26,28,19,19,24.8,5.167204273105526
Return_ratio_without_risk,22,34,24,30,20,20,26.0,5.830951894845301
Gross_profit_margin,37,21,30,39,40,21,33.4,7.956129712366434
Cash_flow_returns_to_sales,25,35,27,23,22,22,26.4,5.176871642217914
Fixed_asset_turnover,30,24,23,20,23,23,24.0,3.6742346141747673
Profit_margin_growth_rate,23,23,33,29,27,23,27.0,4.242640687119285
Current_assets_ratio,32,43,25,44,42,25,37.2,8.348652585896719
Return_from_market,26,32,29,27,26,26,28.0,2.5495097567963922
Total_asset_turnover,27,39,28,32,29,27,31.0,4.847679857416329
EPS_growth,38,27,40,45,43,27,38.6,7.021395872616783
DPS,28,38,32,36,35,28,33.8,3.8987177379235853
Operating_profit_margin,42,28,43,37,31,28,36.2,6.6105975524153635
Net_return_on_working_capital,29,29,31,26,28,29,28.6,1.8165902124584952
P_to_B,39,30,36,34,30,30,33.8,3.8987177379235853
Current_debt_to_total_debt_Ratio,45,41,39,31,33,31,37.8,5.761944116355173
Average_payment_period,35,42,34,33,32,32,35.2,3.9623225512317894
P_to_E,36,40,42,41,34,34,38.6,3.4351128074635335
ROE,40,36,37,35,39,35,37.4,2.0736441353327724
Working_capital_return,44,37,45,43,36,36,41.0,4.183300132670378
Debt_to_total_assets_ratio,33,45,38,38,45,38,39.8,5.167204273105526
EPS,41,44,41,40,41,41,41.4,1.5165750888103102
Total_income_growth,43,26,44,42,44,44,39.8,7.758865896508328
