Scaling,Alg,Acc Cv,Acc Te,Sp,Se,MCC,F1,AUC-ROC,AUPR
MinMax,HGB,54.93 ± 4.05,55.16 ± 4.38,68.87 ± 4.78,47.12 ± 8.86,15.78 ± 5.71,56.3 ± 7.77,62.68 ± 3.68,72.44 ± 3.16
MinMax,LR,46.21 ± 2.48,45.96 ± 2.48,90.79 ± 3.28,19.69 ± 5.7,13.85 ± 2.64,30.8 ± 7.54,64.32 ± 1.99,74.28 ± 1.48
MinMax,RF,65.14 ± 2.59,64.45 ± 3.01,33.13 ± 2.73,82.81 ± 5.3,18.66 ± 5.75,74.5 ± 3.03,62.03 ± 3.41,71.87 ± 2.62
MinMax,SVM,44.2 ± 3.23,43.93 ± 3.38,92.92 ± 3.54,15.22 ± 7.25,11.8 ± 4.26,24.47 ± 10.32,60.58 ± 3.76,72.14 ± 2.85
