Features,1,2,3,4,5,Mode,Mean,Std
P_to_B,1,2,1,1,2,1,1.4,0.5477225575051661
DuPont_Ratio,2,1,2,6,1,1,2.4,2.073644135332772
Net_profit_to_sale,3,3,4,4,5,3,3.8,0.8366600265340756
Net_profit_to_Gross_profit,4,4,3,2,4,4,3.4,0.8944271909999159
Operating_profit_to_sale,5,5,6,3,6,5,5.0,1.224744871391589
Capital,6,6,5,5,3,5,5.0,1.224744871391589
Net_working_capital,9,7,9,7,10,7,8.4,1.3416407864998738
Sale_to_current_assets,17,13,7,11,7,7,11.0,4.242640687119285
Quick_Ratio,7,12,19,9,14,7,12.2,4.658325879540846
Stock_market_value,10,8,8,8,11,8,9.0,1.4142135623730951
Current_ratio,8,11,13,10,12,8,10.8,1.9235384061671346
Equity_Ratio,11,9,14,17,8,8,11.8,3.7013511046643495
Debt_to_equity_ratio,12,10,15,18,9,9,12.8,3.7013511046643495
Operating_cash_flow_to_sales,29,25,10,37,33,10,26.8,10.401922899156675
Fixed_asset_turnover,30,16,11,14,13,11,16.8,7.5960516059331775
Liquidity_ratios,18,29,31,12,15,12,21.0,8.514693182963201
Cost_to_sales_ratio,13,14,12,13,17,13,13.8,1.9235384061671346
Current_assets_ratio,14,22,20,33,18,14,21.4,7.127411872482185
Gross_profit_margin,34,19,17,15,16,15,20.2,7.854934754662192
Profit_margin_growth_rate,15,21,35,23,19,15,22.6,7.536577472566709
Sales_growth_rate,16,15,23,16,30,16,20.0,6.442049363362563
Longterm_debt_to_equity_ratio,19,17,18,21,22,17,19.4,2.073644135332772
Return_from_market,23,26,25,19,24,19,23.4,2.701851217221259
ROE,20,23,26,20,21,20,22.0,2.5495097567963922
ROA,26,20,28,34,32,20,28.0,5.477225575051661
Return_ratio_without_risk,41,40,21,39,35,21,35.2,8.258329128825032
Net_return_on_working_capital,21,33,22,22,23,22,24.2,4.969909455915671
Total_asset_turnover,22,24,30,27,26,22,25.8,3.03315017762062
Current_debt_to_total_debt_Ratio,33,31,27,24,39,24,30.8,5.761944116355173
Operating_profit_margin,43,34,24,29,25,24,31.0,7.7781745930520225
P_to_E,24,36,37,40,28,24,33.0,6.708203932499369
DPS,25,37,38,25,29,25,30.8,6.340346993658944
EPS,32,43,40,26,31,26,34.4,6.9498201415576215
P_to_S,28,27,16,28,27,27,25.2,5.167204273105526
Net_profit_margin,27,28,41,44,42,27,36.4,8.203657720797475
Average_payment_period,31,32,34,32,34,32,32.6,1.3416407864998738
Cash_to_total_assets_ratio,36,42,32,43,41,32,38.8,4.658325879540847
Debt_to_total_assets_ratio,40,35,39,36,45,35,39.0,3.9370039370059056
Operating_assets_Ratio,35,41,43,38,44,35,40.2,3.7013511046643495
Profit_margin_before_interest_and_taxes,39,38,36,35,36,36,36.8,1.6431676725154982
ROI,37,30,33,41,37,37,35.6,4.219004621945797
Cash_flow_returns_to_sales,38,18,29,30,38,38,30.6,8.234075540095562
Total_income_growth,42,45,42,45,40,42,42.8,2.16794833886788
Working_capital_return,44,44,44,31,20,44,36.6,10.853570840972107
EPS_growth,45,39,45,42,43,45,42.8,2.489979919597747
