Scaling,Alg,Acc Cv,Acc Te,Sp,Se,MCC,F1,AUC-ROC,AUPR
MinMax,HGB,58.43 ± 2.59,54.37 ± 4.36,73.37 ± 4.82,43.24 ± 9.22,16.71 ± 5.24,53.38 ± 8.67,63.63 ± 3.38,73.56 ± 3.05
MinMax,LR,55.3 ± 1.22,45.79 ± 2.43,91.13 ± 3.05,19.23 ± 5.51,13.75 ± 2.69,30.28 ± 7.25,64.03 ± 2.14,74.15 ± 1.67
MinMax,RF,59.83 ± 2.03,62.88 ± 3.47,42.99 ± 4.16,74.53 ± 6.94,18.67 ± 5.51,71.38 ± 4.12,62.9 ± 3.12,72.75 ± 2.33
MinMax,SVM,54.62 ± 1.94,44.67 ± 3.65,93.1 ± 3.44,16.3 ± 7.61,13.31 ± 4.47,25.84 ± 10.66,61.24 ± 3.13,72.84 ± 2.86
