Scaling,Alg,Acc Cv,Acc Te,Sp,Se,MCC,F1,AUC-ROC,AUPR
MinMax,HGB,75.9 ± 1.15,73.47 ± 1.79,85.56 ± 1.95,65.83 ± 3.47,50.46 ± 2.55,75.1 ± 2.29,83.14 ± 1.47,89.81 ± 0.86
MinMax,LR,74.2 ± 0.42,70.88 ± 0.73,89.33 ± 0.8,59.24 ± 1.37,48.3 ± 1.05,71.29 ± 0.99,80.02 ± 1.1,87.7 ± 0.67
MinMax,RF,75.01 ± 1.4,74.48 ± 2.12,76.01 ± 3.68,73.52 ± 4.08,48.68 ± 3.78,77.84 ± 2.35,82.1 ± 1.71,89.0 ± 1.03
MinMax,SVM,75.41 ± 0.5,71.96 ± 0.47,88.78 ± 1.0,61.34 ± 0.7,49.58 ± 1.04,72.74 ± 0.51,80.06 ± 2.25,86.9 ± 2.62
Standard,HGB,75.9 ± 1.15,73.48 ± 1.79,85.57 ± 1.91,65.84 ± 3.44,50.48 ± 2.57,75.11 ± 2.29,83.15 ± 1.48,89.81 ± 0.85
Standard,LR,74.97 ± 0.77,71.77 ± 1.01,89.29 ± 0.92,60.71 ± 1.65,49.54 ± 1.57,72.42 ± 1.26,80.71 ± 1.41,87.72 ± 0.73
Standard,RF,75.0 ± 1.39,74.52 ± 2.16,76.04 ± 3.66,73.56 ± 4.1,48.75 ± 3.85,77.87 ± 2.38,82.14 ± 1.73,89.02 ± 1.03
Standard,SVM,75.57 ± 0.69,72.17 ± 0.68,88.55 ± 0.91,61.83 ± 0.83,49.76 ± 1.32,73.07 ± 0.73,80.15 ± 2.25,86.68 ± 2.31
