CompanyId,PersianYear,Return,Beta,Debt_to_total_assets_ratio,Operating_profit_to_sale,Fixed_asset_turnover,Return_from_market,Current_assets_ratio,Working_capital_return,Longterm_debt_to_equity_ratio,Return_ratio_without_risk,Profit_margin_growth_rate,Stock_market_value,Net_profit_to_sale,Net_profit_to_Gross_profit,Current_ratio,Net_working_capital,Operating_assets_Ratio,Total_asset_turnover,DPS,EPS_growth,Liquidity_ratios,ROA,Quick_Ratio,Average_payment_period,ROE,EPS,Total_income_growth,P_to_E,ROI,Capital,P_to_B,P_to_S,Cash_to_total_assets_ratio,Debt_to_equity_ratio,Equity_Ratio,DuPont_Ratio,Gross_profit_margin,Operating_profit_margin,Net_profit_margin,Sales_growth_rate,Current_debt_to_total_debt_Ratio,Cost_to_sales_ratio,Sale_to_current_assets,Operating_cash_flow_to_sales,Cash_flow_returns_to_sales,Profit_margin_before_interest_and_taxes,Net_return_on_working_capital,r_dicho,b_dicho
1,1390,50.83333336,-0.260216022,0.7634408602150536,0.0005382112599747176,0.18468036091380302,0.15421620222579702,0.4268292682926829,0.0015098485904932641,0.06343533616260888,0.714285714285714,0.21780884562618413,0.00016812128602797862,0.0005763026670232347,0.00024090349975331923,0.040273556231003024,0.019677795440923743,0.0,6.812595973956642e-08,0.2054794520547945,0.3755662415499338,0.20894308943089432,0.27690074396661224,0.029434546862896975,3.038718292939431e-06,0.09898120723113063,0.2130642524833396,0.38980757666867105,0.36689459679739184,0.47274303674000223,0.0,0.07690348866819456,0.014824797843665768,0.03907089151450054,0.059322033898305086,0.05932203389830508,0.4467125296041502,0.16308455361360413,0.2733637747336377,0.05735352996129721,0.11093527009650844,0.8543756967670011,0.10580524344569288,0.3769123783031989,0.008909108141408398,0.5974853126887388,0.04253231373079787,0.9387565634640181,1,-1
2,1390,27.22298228,1.117635286,0.0,0.0005357216037592237,0.015933960453062005,0.15421620222579702,0.3780487804878048,0.006797377184397894,0.02970739334375698,0.714285714285714,0.22394982687659246,0.0002809627014213312,0.0009545610443787783,0.0002478133078059602,0.06990881458966565,0.01984658751812897,0.0,1.0360168992652958e-08,0.04794520547945205,0.3823262945152972,0.24552845528455286,0.38668118308836874,0.08055770720371805,5.0442970698716405e-06,0.10245378408742722,0.12121212121212119,0.3970986169573061,0.36627133473966816,0.5946678226942669,0.00022728632095221003,0.04074357015533486,0.06307277628032344,0.10042964554242752,0.03339980059820539,0.03339980059820538,0.5953535581369122,0.4141473783656116,0.4444444444444444,0.26060990257573735,0.11366237583190855,0.8719342251950948,0.29728464419475653,0.05424200278164118,0.14371465579881842,0.5291824520946578,0.2690329566217771,0.9392212766916879,-1,-1
3,1390,-4.792332299,1.301283592,0.3333333333333333,0.039617932115788804,0.028604338644653483,0.15421620222579702,0.4634146341463415,0.002717301928671777,0.009157918248827338,0.714285714285714,0.21852747109165743,0.036396427081352496,0.04109439279875505,0.03647888880744111,0.2651975683890577,0.04588972049884743,0.0,1.5069336716586117e-08,0.0684931506849315,0.37368457732246146,0.14715447154471545,0.4202504082743604,0.17273431448489543,3.8736997087799395e-06,0.0740603615565315,0.08613101974097823,0.3877781118460613,0.3670174513376162,0.511650590657852,0.02865003887792332,0.061115355233002294,0.09541778975741239,0.16997851772287864,0.006480558325024926,0.006480558325024921,0.8897033946092253,0.7385451110061407,0.7839675291730086,0.22581075670625916,0.09568891212502295,0.6879877369007803,0.014513108614232212,0.07719054242002783,0.19255678766625595,0.7591830011530227,0.20870271367665968,0.938971597764802,-1,-1
4,1390,35.09933773,1.562188671,0.6236559139784945,0.04111953550352953,0.0249568055288923,0.15421620222579702,0.524390243902439,0.003908354468938174,0.03551485369667187,0.714285714285714,0.21891944861827925,0.04084796915650311,0.042136300887921765,0.03742570721373358,0.13221884498480244,0.03873550008293207,0.0,1.4441447686728362e-08,0.06712328767123288,0.3695031012614119,0.2845528455284553,0.4233351478860461,0.09914794732765297,1.4666875588474857e-06,0.08414615463180472,0.08776562303533256,0.3888304269392664,0.36717925975644833,0.5302915357104151,0.02865003887792332,0.0677361853832442,0.10943396226415093,0.26342642320085935,0.009970089730807579,0.009970089730807583,0.8361339799255667,0.7724374114312704,0.8208016235413496,0.23528626718270385,0.0941911234827825,0.9226588628762542,0.17883895131086144,0.08344923504867874,0.19637949009572553,0.768407181683413,0.24013669892400352,0.9390333786921509,1,-1
6,1390,167.0454545,0.899287381,0.0,0.0005669012719948432,0.1315031675945479,0.15421620222579702,0.975609756097561,0.00203706775364654,0.0035738217556399374,0.714285714285714,0.2202260403736853,0.0006992006080168764,0.0006020919360482612,0.00037568993861102426,0.4924012158054711,0.02046308939227234,0.0,2.5429505709239074e-08,0.00684931506849315,0.3670639068924664,0.4959349593495935,0.2527671928869534,0.30364058869093724,2.4354212809447786e-06,0.05036513124297824,0.07462592732302276,0.3919873722188815,0.3704393997506951,0.3159206676059391,0.00018242717865901072,0.11484593837535015,0.11293800539083557,0.012352309344790549,0.00847457627118644,0.008474576271186439,0.8547423029209428,0.46776098252243736,0.40618975139523084,0.1004604297344188,0.13908239250540474,0.6188684503901896,0.6839887640449439,0.05146036161335189,0.09196600638170156,0.5219897875144128,0.08127495432090412,0.938930009023227,1,1
9,1390,336.2728785,0.573319403,0.0,0.0005580695441567227,0.016509886734497985,0.15421620222579702,0.4268292682926829,0.0010089593569610616,0.03060084878266696,0.714285714285714,0.33468347814725297,0.0006567556719514869,0.0007994200448103582,0.0003146703695044857,0.06914893617021275,0.01986116354684162,0.0,8.476501903079691e-09,0.0684931506849315,0.48407554533416963,0.23008130081300815,0.26066049718744333,0.05964368706429125,2.9429036461090433e-06,0.08352058012460423,0.19891864705142712,0.5065393866506314,0.36813213155623736,0.3715183700010838,6.124768227764819e-05,0.1092436974789916,0.1353099730458221,0.0361170784103115,0.047856430707876374,0.04785643070787636,0.50355249802639,0.5024799244213509,0.463115169964485,0.19631656212464965,0.11576775797996353,0.7593366778149386,0.5795880149812734,0.046592489568845624,0.05689824029317916,0.6308131554384232,0.220714624077959,0.9393991436994206,1,1
10,1390,59.15492954,0.853890198,0.0,0.001242535003337941,0.08926857362257631,0.15421620222579702,0.7560975609756098,0.0023368920700723647,0.020326111235202143,0.714285714285714,0.21695956098517022,0.002026381291817592,0.0014622792550559181,0.0010903098779627895,0.2082066869300912,0.021101673191002226,0.0,2.0720337985305915e-08,0.04452054794520548,0.3683880409784654,0.3463414634146341,0.30602431500635097,0.13477924089852827,1.0306691567887588e-06,0.06505974874885098,0.07600905318747642,0.3885297654840649,0.3688123262057723,0.4090170152812399,0.000897182845863987,0.11204481792717087,0.11078167115902963,0.2753759398496241,0.014456630109670987,0.014456630109670993,0.7770384572008571,0.45925838450637685,0.46352105530187715,0.13632723875617242,0.15766344971810486,0.886426978818283,0.38623595505617975,0.06397774687065369,0.12965595678134775,0.7346949980782957,0.12018677674764837,0.938951530356103,1,1
11,1390,7.142857143,0.244167906,0.0,0.00043020604231046257,0.02956421578038011,0.15421620222579702,0.6219512195121952,0.002554978355822669,0.021666294393567116,0.714285714285714,0.21754752727510293,4.824850464057422e-05,0.00042608710028668387,0.0001613232343868098,0.08586626139817628,0.019839434149654268,0.0,2.0720337985305915e-08,0.0273972602739726,0.37368457732246146,0.24715447154471543,0.16530575213209941,0.07203718048024788,4.7275617272187006e-06,0.048462874068021654,0.0540047780711681,0.3877781118460613,0.3669844903634097,0.2809147068386258,9.091452838088401e-05,0.03284950343773873,0.025876010781671156,0.08713748657357681,0.04187437686939183,0.04187437686939183,0.537047479418067,0.4312706660368445,0.40314561136478944,0.07897370879487522,0.09707366011501886,0.8779264214046822,0.5533707865168539,0.08136300417246176,0.11420718415316083,0.6696315818371493,0.08316979089124991,0.9389565160140091,-1,1
15,1390,0.0,0.0,0.0,0.0003984563738360325,0.04434632367057017,0.15421620222579702,0.8048780487804876,0.002803383954469966,0.031494304221576945,0.714285714285714,0.3317436466975894,1.4853657138200207e-05,0.0008322562636894856,0.00013412979624415847,0.17553191489361702,0.020223307110060484,0.0,1.1929891567297342e-08,0.0684931506849315,0.5291657955258205,0.3178861788617886,0.4441117764471058,0.10689388071262587,4.54016733507529e-06,0.11085435604126237,0.11806865333836286,0.5544197233914612,0.3654922571675136,0.4538853365124093,0.0001794365691727974,0.0010185892538833712,0.012938005390835576,0.3735230934479055,0.021435692921236295,0.021435692921236288,0.6973046126085486,0.31802078412848367,0.3190258751902587,0.27585746696917124,0.10714840824631558,0.9101170568561872,0.21769662921348318,0.02642559109874826,0.15802609547278298,0.38604293636413556,0.2885903769371321,0.9389768655273991,-1,-1
27,1390,16.55172412,0.051489279,0.0,0.0004895777913231091,0.10155500095987713,0.15421620222579702,0.646341463414634,0.0016702217981852561,0.12039312039312039,0.714285714285714,0.21421571829881758,0.0005770420115359993,0.0004557478000561013,0.0013504066196129824,0.05623100303951367,0.019894149339732832,0.0,5.462634559762469e-08,0.000958904109589041,0.36650637675099307,0.2105691056910569,0.040645980765741246,0.023237800154918668,1.0329630617773317e-06,0.022878153406189358,0.029988683515654466,0.3800360793746242,0.3743168088982644,0.07586431126043135,0.0007897362282433159,0.035650623885918005,0.004043126684636118,0.1403061224489796,0.2731804586241276,0.27318045862412765,0.11898048945528364,0.11112423240434575,0.16651445966514458,0.020285599893233686,0.11087874977038617,0.9140189520624302,0.4133895131086142,0.18150208623087624,0.019934919280952833,0.497501784439686,0.00856060093388374,0.9389031114259495,-1,1
