Algorithm,Number_of_Features,cross_validation_accuracy_mean,cross_validation_accuracy_std,test_accuracy_mean,test_accuracy_std,specificity_mean,specificity_std,sensitivity_mean,sensitivity_std,mcc_mean,mcc_std,f1_mean,f1_std,auc_roc_mean,auc_roc_std,aupr_mean,aupr_std,best_param_fold_1,best_param_fold_2,best_param_fold_3,best_param_fold_4,best_param_fold_5
LR,11,55.1,1.12,45.96,1.8,93.04,3.64,18.28,5.33,15.71,3.85,29.5,7.17,64.64,4.68,74.88,2.04,"{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3338983050847457), np.int64(1): np.float64(0.7997967479674797)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3875), np.int64(1): np.float64(0.7816901408450704)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3551236749116609), np.int64(1): np.float64(0.7923553719008265)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3513986013986015), np.int64(1): np.float64(0.7936344969199178)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3402777777777777), np.int64(1): np.float64(0.7975206611570248)}, 'C': 10}"
LR,12,55.09,1.11,46.26,1.96,92.72,3.36,18.94,5.54,15.93,3.05,30.34,7.39,64.67,4.72,74.99,2.09,"{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3338983050847457), np.int64(1): np.float64(0.7997967479674797)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3875), np.int64(1): np.float64(0.7816901408450704)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3551236749116609), np.int64(1): np.float64(0.7923553719008265)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3513986013986015), np.int64(1): np.float64(0.7936344969199178)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3402777777777777), np.int64(1): np.float64(0.7975206611570248)}, 'C': 10}"
LR,13,55.28,1.46,46.45,2.3,92.9,2.69,19.1,5.66,16.37,2.32,30.58,7.57,63.99,5.27,74.6,2.35,"{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3338983050847457), np.int64(1): np.float64(0.7997967479674797)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3875), np.int64(1): np.float64(0.7816901408450704)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3551236749116609), np.int64(1): np.float64(0.7923553719008265)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3513986013986015), np.int64(1): np.float64(0.7936344969199178)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3402777777777777), np.int64(1): np.float64(0.7975206611570248)}, 'C': 10}"
LR,14,55.55,1.19,45.62,3.63,93.1,3.25,17.66,7.29,14.8,5.36,28.31,10.44,63.96,5.38,74.48,2.69,"{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3338983050847457), np.int64(1): np.float64(0.7997967479674797)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3875), np.int64(1): np.float64(0.7816901408450704)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3551236749116609), np.int64(1): np.float64(0.7923553719008265)}, 'C': 1}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3513986013986015), np.int64(1): np.float64(0.7936344969199178)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3402777777777777), np.int64(1): np.float64(0.7975206611570248)}, 'C': 10}"
LR,15,55.45,1.23,45.94,3.58,93.74,2.62,17.82,7.28,15.96,4.61,28.62,10.23,64.27,5.31,74.55,2.74,"{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3338983050847457), np.int64(1): np.float64(0.7997967479674797)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3875), np.int64(1): np.float64(0.7816901408450704)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3551236749116609), np.int64(1): np.float64(0.7923553719008265)}, 'C': 1}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3513986013986015), np.int64(1): np.float64(0.7936344969199178)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3402777777777777), np.int64(1): np.float64(0.7975206611570248)}, 'C': 10}"
LR,16,55.48,1.17,45.62,3.4,93.1,3.25,17.66,6.9,14.94,4.78,28.38,9.81,64.59,4.85,74.73,2.49,"{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3338983050847457), np.int64(1): np.float64(0.7997967479674797)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3875), np.int64(1): np.float64(0.7816901408450704)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3551236749116609), np.int64(1): np.float64(0.7923553719008265)}, 'C': 1}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3513986013986015), np.int64(1): np.float64(0.7936344969199178)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3402777777777777), np.int64(1): np.float64(0.7975206611570248)}, 'C': 10}"
LR,17,55.45,1.12,46.42,2.56,92.57,2.69,19.24,5.07,16.02,3.84,30.83,6.68,64.91,4.89,75.1,2.41,"{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3338983050847457), np.int64(1): np.float64(0.7997967479674797)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3875), np.int64(1): np.float64(0.7816901408450704)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3551236749116609), np.int64(1): np.float64(0.7923553719008265)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3513986013986015), np.int64(1): np.float64(0.7936344969199178)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3402777777777777), np.int64(1): np.float64(0.7975206611570248)}, 'C': 10}"
LR,18,55.47,1.09,47.03,3.33,92.59,2.2,20.2,6.36,16.81,5.31,32.0,8.27,65.19,5.54,75.37,2.85,"{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3338983050847457), np.int64(1): np.float64(0.7997967479674797)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3875), np.int64(1): np.float64(0.7816901408450704)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3551236749116609), np.int64(1): np.float64(0.7923553719008265)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3513986013986015), np.int64(1): np.float64(0.7936344969199178)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3402777777777777), np.int64(1): np.float64(0.7975206611570248)}, 'C': 10}"
LR,19,55.24,1.15,47.01,3.67,92.22,3.59,20.36,6.62,16.59,6.44,32.13,8.54,65.52,5.1,75.46,2.73,"{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3338983050847457), np.int64(1): np.float64(0.7997967479674797)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3875), np.int64(1): np.float64(0.7816901408450704)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3551236749116609), np.int64(1): np.float64(0.7923553719008265)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3513986013986015), np.int64(1): np.float64(0.7936344969199178)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3402777777777777), np.int64(1): np.float64(0.7975206611570248)}, 'C': 10}"
LR,20,56.27,1.38,47.94,2.7,90.61,2.93,22.8,5.57,16.83,4.5,35.23,6.85,66.3,4.93,75.93,2.19,"{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3338983050847457), np.int64(1): np.float64(0.7997967479674797)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3875), np.int64(1): np.float64(0.7816901408450704)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3551236749116609), np.int64(1): np.float64(0.7923553719008265)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3513986013986015), np.int64(1): np.float64(0.7936344969199178)}, 'C': 10}","{'random_state': 75, 'class_weight': {np.int64(-1): np.float64(1.3402777777777777), np.int64(1): np.float64(0.7975206611570248)}, 'C': 10}"
