Features,1,2,3,4,5,Mode,Mean,Std
ROI,1,1,1,1,1,1,1.0,0.0
ROA,2,3,2,2,3,2,2.4,0.5477225575051661
Return_from_market,4,2,3,3,2,2,2.8,0.8366600265340756
Sales_growth_rate,5,4,4,4,4,4,4.2,0.44721359549995787
ROE,3,5,5,5,5,5,4.6,0.8944271909999157
P_to_B,6,6,6,7,6,6,6.2,0.4472135954999579
Cash_to_total_assets_ratio,7,7,7,11,8,7,8.0,1.7320508075688772
Net_profit_margin,8,8,8,9,9,8,8.4,0.5477225575051662
Operating_profit_margin,9,14,9,12,13,9,11.4,2.3021728866442674
EPS,10,9,10,6,10,10,9.0,1.7320508075688772
Sale_to_current_assets,17,10,14,10,12,10,12.6,2.9664793948382653
Profit_margin_before_interest_and_taxes,11,11,11,13,15,11,12.2,1.7888543819998317
Debt_to_total_assets_ratio,30,12,35,31,33,12,28.2,9.257429448826494
DPS,15,13,13,8,17,13,13.2,3.3466401061363023
DuPont_Ratio,12,16,17,14,14,14,14.6,1.9493588689617927
Operating_assets_Ratio,13,15,15,17,16,15,15.2,1.4832396974191326
Average_payment_period,16,17,16,18,29,16,19.2,5.540758070878027
Net_profit_to_sale,22,18,20,23,28,18,22.2,3.7682887362833544
Current_ratio,29,39,41,36,18,18,32.6,9.343446901438464
Cost_to_sales_ratio,28,33,36,30,19,19,29.2,6.457553716385176
Total_income_growth,27,29,28,26,20,20,26.0,3.5355339059327378
Fixed_asset_turnover,21,22,19,15,21,21,19.6,2.7928480087537886
Stock_market_value,25,21,26,27,32,21,26.2,3.96232255123179
Liquidity_ratios,20,28,25,22,22,22,23.4,3.1304951684997055
Net_profit_to_Gross_profit,23,19,23,24,30,23,23.8,3.96232255123179
EPS_growth,34,31,30,28,23,23,29.2,4.08656334834051
Gross_profit_margin,14,24,12,16,24,24,18.0,5.656854249492381
Operating_profit_to_sale,24,20,24,25,31,24,24.8,3.96232255123179
Debt_to_equity_ratio,18,25,21,19,25,25,21.6,3.286335345030997
Equity_Ratio,19,26,22,20,26,26,22.6,3.286335345030997
Profit_margin_growth_rate,26,27,27,21,27,27,25.6,2.6076809620810595
Net_working_capital,31,23,29,29,35,29,29.4,4.33589667773576
P_to_S,35,34,32,32,7,32,28.0,11.811011811017716
Cash_flow_returns_to_sales,32,32,34,39,37,32,34.8,3.1144823004794877
Operating_cash_flow_to_sales,33,30,31,33,11,33,27.6,9.370165420097983
Capital,37,35,33,34,36,33,35.0,1.5811388300841898
Quick_Ratio,39,44,42,41,34,34,40.0,3.8078865529319543
Current_assets_ratio,38,42,37,35,39,35,38.2,2.588435821108957
Working_capital_return,36,36,18,38,38,36,33.2,8.555699854482976
Net_return_on_working_capital,40,38,40,37,40,40,39.0,1.4142135623730951
Longterm_debt_to_equity_ratio,41,40,38,44,41,41,40.8,2.16794833886788
Total_asset_turnover,42,41,39,42,42,42,41.2,1.3038404810405297
Current_debt_to_total_debt_Ratio,44,43,44,43,43,43,43.4,0.5477225575051661
P_to_E,45,37,43,40,45,45,42.0,3.4641016151377544
Return_ratio_without_risk,43,45,45,45,44,45,44.4,0.8944271909999159
