Features,1,2,3,4,5,Mode,Mean,Std
DuPont_Ratio,1,1,1,1,1,1,1.0,0.0
Net_profit_to_Gross_profit,2,4,3,3,2,2,2.8,0.8366600265340756
Net_profit_to_sale,4,5,2,2,3,2,3.2,1.3038404810405297
Operating_profit_to_sale,3,3,4,4,4,4,3.6,0.5477225575051661
Capital,5,6,5,5,5,5,5.2,0.44721359549995787
Stock_market_value,6,8,8,10,6,6,7.6,1.6733200530681511
Net_working_capital,7,7,6,7,8,7,7.0,0.7071067811865476
P_to_B,10,11,7,8,9,7,9.0,1.5811388300841898
Current_ratio,11,9,9,6,16,9,10.2,3.7013511046643495
Profit_margin_growth_rate,15,19,24,18,10,10,17.2,5.167204273105526
Debt_to_equity_ratio,9,16,11,13,11,11,12.0,2.6457513110645907
Cost_to_sales_ratio,13,21,15,11,18,11,15.6,3.9749213828703582
Equity_Ratio,8,15,10,12,12,12,11.4,2.6076809620810595
Net_profit_margin,18,12,17,21,19,12,17.4,3.361547262794322
Liquidity_ratios,16,30,12,15,27,12,20.0,7.968688725254614
ROA,12,13,13,16,15,13,13.8,1.6431676725154984
Current_assets_ratio,37,22,20,41,13,13,26.6,11.88696765369537
Quick_Ratio,14,10,14,9,17,14,12.8,3.271085446759225
Sales_growth_rate,22,26,25,14,24,14,22.2,4.8166378315169185
Sale_to_current_assets,19,27,23,28,14,14,22.2,5.805170109479997
Profit_margin_before_interest_and_taxes,25,14,26,30,31,14,25.2,6.760177512462229
ROI,17,17,16,23,20,17,18.6,2.8809720581775866
Cash_flow_returns_to_sales,28,36,44,17,25,17,30.0,10.36822067666386
Fixed_asset_turnover,21,18,19,20,28,18,21.2,3.96232255123179
Longterm_debt_to_equity_ratio,20,20,18,19,7,20,16.8,5.540758070878027
Total_income_growth,39,45,34,35,21,21,34.8,8.843076387773658
P_to_E,36,28,28,22,22,22,27.2,5.761944116355173
Total_asset_turnover,30,39,22,25,29,22,29.0,6.442049363362563
Net_return_on_working_capital,23,23,21,24,33,23,24.8,4.711687595755899
EPS_growth,43,38,29,45,23,23,35.6,9.370165420097983
Operating_profit_margin,26,24,35,44,42,24,34.2,9.06642156531451
Working_capital_return,24,35,36,43,38,24,35.2,6.978538528947161
Current_debt_to_total_debt_Ratio,27,25,30,33,36,25,30.2,4.43846820423443
Gross_profit_margin,45,32,38,26,26,26,33.4,8.17312669668102
Operating_cash_flow_to_sales,29,2,27,27,30,27,23.0,11.811011811017716
Operating_assets_Ratio,33,44,39,29,41,29,37.2,6.099180272790762
Average_payment_period,40,31,33,32,35,31,34.2,3.563705936241092
P_to_S,32,29,32,31,34,32,31.6,1.8165902124584952
DPS,35,34,45,36,37,34,37.4,4.393176527297759
Return_from_market,42,40,41,37,43,37,40.6,2.3021728866442674
Return_ratio_without_risk,38,33,37,38,40,38,37.2,2.5884358211089573
EPS,31,37,43,39,39,39,37.8,4.3817804600413295
Debt_to_total_assets_ratio,34,42,40,40,32,40,37.6,4.33589667773576
Cash_to_total_assets_ratio,41,41,31,34,44,41,38.2,5.449770637375485
ROE,44,43,42,42,45,42,43.2,1.3038404810405297
