Alg,Group,Acc,MCC,AUC-ROC,AUPR
HGB,company,75.37,52.68,84.75,90.81
HGB,none,75.49,53.23,84.82,90.77
HGB,year,64.76,28.75,71.87,80.44
RF,company,76.73,52.14,83.85,89.62
RF,none,76.69,51.72,83.73,89.48
RF,year,68.08,30.37,72.75,81.49
SVM,company,72.93,51.83,82.46,89.0
SVM,none,72.8,51.54,82.38,88.72
SVM,year,58.25,20.76,69.52,79.37
LR,company,72.38,50.05,81.33,88.3
LR,none,72.49,50.27,81.26,88.2
LR,year,64.86,31.43,76.57,84.2
