Run_sample,Target,Scaling,Alg,Acc Cv_mean,Acc Cv_std,Acc Te_mean,Acc Te_std,Sp_mean,Sp_std,Se_mean,Se_std,MCC_mean,MCC_std,F1_mean,F1_std,AUC-ROC_mean,AUC-ROC_std,AUPR_mean,AUPR_std
SKF_yearSort_NoneGroup,b_dicho,MinMax,HGB,54.93,4.05,55.16,4.38,68.87,4.78,47.12,8.86,15.78,5.71,56.3,7.77,62.68,3.68,72.44,3.16
SKF_yearSort_NoneGroup,b_dicho,MinMax,SVM,44.2,3.23,43.93,3.38,92.92,3.54,15.22,7.25,11.8,4.26,24.47,10.32,60.58,3.76,72.14,2.85
SKF_yearSort_NoneGroup,b_dicho,MinMax,RF,65.14,2.59,64.45,3.01,33.13,2.73,82.81,5.3,18.66,5.75,74.5,3.03,62.03,3.41,71.87,2.62
SGKF_yearSort_companyGroup,b_dicho,MinMax,SVM,54.27,1.79,43.33,3.1,92.15,4.54,14.6,7.31,10.11,3.33,23.17,10.18,59.66,2.96,71.61,2.48
SGKF_companySort_companyGroup,b_dicho,MinMax,SVM,54.25,1.8,43.33,3.09,92.14,4.55,14.6,7.31,10.1,3.35,23.17,10.17,59.56,3.1,71.56,2.48
SGKF_yearSort_companyGroup,b_dicho,MinMax,HGB,58.11,2.39,52.08,4.45,72.6,6.25,40.07,10.09,12.89,5.22,49.95,9.54,61.02,3.58,71.53,3.04
SGKF_companySort_companyGroup,b_dicho,MinMax,HGB,57.8,2.3,52.11,4.38,72.49,6.32,40.12,9.85,12.81,5.1,50.01,9.33,60.99,3.4,71.44,2.9
SGKF_yearSort_companyGroup,b_dicho,MinMax,RF,58.75,1.64,61.74,3.25,40.2,4.85,74.08,6.95,15.38,5.1,70.51,4.01,60.58,3.03,70.92,2.23
SGKF_companySort_companyGroup,b_dicho,MinMax,RF,58.72,1.64,61.7,3.28,40.48,4.83,73.82,7.06,15.34,5.1,70.43,4.1,60.49,3.03,70.79,2.23
SGKF_yearSort_yearGroup,b_dicho,MinMax,LR,43.86,1.7,40.96,1.88,81.77,3.39,19.98,4.26,2.95,2.76,26.06,5.93,58.61,1.92,69.97,0.88
SGKF_companySort_yearGroup,b_dicho,MinMax,LR,51.86,1.03,40.28,1.56,82.87,3.8,18.33,4.08,2.15,2.71,23.5,5.41,57.76,1.69,69.51,0.8
SGKF_companySort_yearGroup,b_dicho,MinMax,SVM,51.38,0.99,38.55,1.31,83.57,5.49,15.02,4.12,-1.78,2.78,18.07,5.14,54.97,2.21,67.08,1.54
SGKF_yearSort_yearGroup,b_dicho,MinMax,SVM,43.52,2.06,39.38,1.78,81.55,5.18,17.72,4.71,-0.78,3.04,22.13,6.38,54.57,2.43,66.81,1.77
SGKF_yearSort_yearGroup,b_dicho,MinMax,RF,61.59,2.45,58.5,2.58,33.38,2.94,76.41,5.5,11.14,4.42,69.42,3.15,55.88,2.21,66.75,1.15
SGKF_companySort_yearGroup,b_dicho,MinMax,RF,56.02,1.44,57.15,3.05,37.4,4.65,71.94,7.14,10.31,4.36,67.18,4.33,55.82,2.1,66.61,1.24
SGKF_companySort_yearGroup,b_dicho,MinMax,HGB,53.57,1.52,44.84,3.29,67.78,8.0,36.48,9.15,4.8,4.06,41.12,9.29,55.35,2.38,66.53,1.61
SGKF_yearSort_yearGroup,b_dicho,MinMax,HGB,50.61,3.34,46.62,3.15,63.67,6.92,41.1,8.48,5.06,3.8,46.43,7.72,55.18,1.8,66.28,1.34
